"User_ID","Product_ID","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Product_Category_1","Product_Category_2","Product_Category_3"
1000813,"P00303242","M","18-25",4,"C","1",1,5,8,NA
1000141,"P00197042","M","36-45",13,"C","1",1,5,NA,NA
1000837,"P00112442","M","55+",7,"C","1",1,6,8,NA
1005831,"P00085342","M","26-35",1,"A","2",1,10,13,NA
1001680,"P00036842","M","26-35",20,"A","3",1,1,14,16
1005654,"P00363742","M","26-35",4,"A","3",1,5,NA,NA
1003469,"P00119742","M","46-50",17,"B","3",1,5,8,12
1002544,"P00241042","M","46-50",1,"B","1",0,8,NA,NA
1003652,"P00030442","M","26-35",12,"B","3",0,5,NA,NA
1005984,"P00046742","M","26-35",1,"A","4+",0,1,2,15
1001004,"P00035542","M","26-35",3,"B","2",0,3,4,12
1002439,"P00223242","M","46-50",17,"A","1",1,5,14,NA
1001726,"P00163242","M","26-35",2,"B","1",1,1,8,14
1002907,"P00267542","F","36-45",5,"A","4+",0,1,16,NA
1003745,"P00359642","F","26-35",9,"C","4+",0,11,NA,NA
1003853,"P00178842","M","26-35",14,"B","1",1,2,4,9
1003265,"P00041842","M","26-35",15,"A","1",0,6,8,NA
1001645,"P00040642","F","18-25",9,"B","1",1,5,NA,NA
1003183,"P00117542","M","51-55",7,"C","4+",1,18,NA,NA
1001626,"P00122542","M","18-25",4,"B","0",1,11,NA,NA
1000855,"P00195742","F","18-25",2,"A","2",1,3,4,NA
1001854,"P00275142","M","26-35",0,"C","2",0,5,8,NA
1002580,"P00100942","F","46-50",1,"C","2",1,5,NA,NA
1005452,"P00194442","M","36-45",6,"A","4+",0,5,NA,NA
1004908,"P00057642","M","36-45",15,"C","2",0,1,15,16
1003312,"P00342742","F","18-25",4,"A","3",0,8,14,NA
1000296,"P00251942","M","51-55",5,"C","4+",1,1,2,5
1002532,"P00104842","F","55+",13,"C","0",0,8,NA,NA
1003328,"P00037142","M","55+",19,"C","2",1,1,2,5
1000146,"P00182742","F","36-45",20,"B","3",1,1,2,14
1001142,"P00337542","M","18-25",1,"B","1",0,5,14,NA
1000314,"P00240142","F","55+",9,"C","1",0,5,NA,NA
1002429,"P00052842","M","26-35",2,"A","2",1,10,15,NA
1003209,"P00159242","M","26-35",0,"C","3",0,1,2,16
1005329,"P00288042","F","26-35",5,"B","1",0,8,NA,NA
1002402,"P00217742","M","46-50",17,"B","4+",0,5,14,NA
1002506,"P00015542","F","26-35",14,"A","4+",0,1,2,13
1003792,"P00255542","M","26-35",6,"A","1",0,5,NA,NA
1005166,"P00021842","M","51-55",6,"B","1",1,5,8,14
1004194,"P00179142","M","18-25",4,"C","1",1,11,NA,NA
1002665,"P00230242","M","36-45",11,"B","1",0,3,15,NA
1004438,"P00275842","M","51-55",0,"C","2",0,2,9,15
1000277,"P00002542","F","36-45",1,"C","2",0,8,14,NA
1005726,"P00201442","M","26-35",1,"C","0",0,1,6,8
1003752,"P00120042","F","18-25",1,"B","4+",0,1,2,NA
1004000,"P00117642","M","36-45",7,"B","3",0,10,16,NA
1004502,"P00085942","M","51-55",0,"C","1",1,2,4,8
1001613,"P00057642","M","18-25",20,"A","1",0,1,15,16
1004161,"P00336342","M","46-50",0,"B","3",1,12,NA,NA
1004643,"P00147342","M","26-35",0,"A","0",0,15,16,NA
1001958,"P00295742","F","26-35",1,"B","3",0,8,NA,NA
1002909,"P00002042","M","26-35",7,"A","1",0,1,NA,NA
1000329,"P00355142","M","36-45",7,"A","1",0,1,15,NA
1005858,"P00331842","M","26-35",4,"B","1",0,16,NA,NA
1004388,"P00128442","M","46-50",3,"B","2",1,1,8,NA
1003675,"P00084542","M","36-45",7,"B","3",0,5,NA,NA
1002537,"P00138842","M","36-45",11,"B","0",0,5,NA,NA
1000780,"P00197042","M","26-35",17,"B","3",0,5,NA,NA
1004498,"P00334242","M","51-55",7,"C","1",1,1,8,NA
1000271,"P00205942","M","18-25",4,"C","1",0,5,8,14
1004510,"P00202242","M","46-50",7,"A","4+",1,10,16,NA
1001340,"P00296042","M","26-35",7,"A","2",0,8,13,16
1004824,"P00114442","M","26-35",7,"C","2",0,5,6,NA
1005556,"P00085442","M","46-50",6,"A","0",0,12,14,NA
1003574,"P00342242","F","36-45",6,"A","1",1,11,15,16
1001699,"P00190842","F","26-35",19,"A","0",0,2,5,12
1005083,"P00014642","M","26-35",4,"B","4+",1,8,14,17
1004422,"P00181942","M","26-35",5,"A","1",1,11,NA,NA
1002092,"P00178342","M","55+",1,"B","4+",1,8,NA,NA
1000731,"P00050542","M","46-50",3,"A","0",1,5,NA,NA
1003431,"P00085242","F","46-50",6,"B","1",1,8,14,17
1004442,"P00356942","M","51-55",15,"B","1",1,8,17,NA
1001284,"P00005142","M","46-50",16,"A","1",1,5,NA,NA
1003024,"P00149342","M","36-45",17,"A","4+",0,13,16,NA
1002810,"P00220642","F","0-17",10,"B","2",0,8,NA,NA
1002604,"P00271142","M","26-35",0,"B","1",1,5,NA,NA
1001361,"P00123742","F","26-35",0,"A","1",0,11,NA,NA
1000860,"P00122542","M","18-25",0,"C","0",0,11,NA,NA
1002748,"P00216242","M","26-35",4,"B","1",0,3,4,5
1004502,"P00352142","M","51-55",0,"C","1",1,1,6,16
1001063,"P00117942","M","36-45",7,"B","1",0,5,15,NA
1001790,"P00207442","M","26-35",0,"C","1",0,16,NA,NA
1003491,"P00150542","M","26-35",16,"B","1",0,5,NA,NA
1003770,"P00184242","F","36-45",3,"C","1",1,9,15,NA
1002526,"P00183342","M","55+",13,"B","4+",1,5,15,18
1005786,"P00183342","M","26-35",6,"B","1",1,5,15,18
1002537,"P00037142","M","36-45",11,"B","0",0,1,2,5
1002198,"P00000142","F","36-45",9,"C","1",0,3,4,5
1005678,"P00119842","M","36-45",17,"A","0",1,7,17,NA
1003526,"P00034842","M","36-45",2,"B","1",1,5,14,NA
1005434,"P00235642","F","26-35",7,"A","1",1,8,16,NA
1004277,"P00182442","M","36-45",16,"A","0",0,5,11,NA
1004277,"P00075842","M","36-45",16,"A","0",0,14,NA,NA
1001309,"P00358442","M","26-35",14,"C","0",0,1,15,NA
1001258,"P00320442","M","46-50",7,"C","1",0,6,10,NA
1001323,"P00119442","F","36-45",2,"C","1",0,5,NA,NA
1005888,"P00117942","M","26-35",20,"B","1",0,5,15,NA
1003519,"P00341242","F","26-35",14,"A","1",1,7,NA,NA
1001137,"P00036842","M","18-25",4,"B","4+",0,1,14,16
1000854,"P00058042","F","26-35",16,"B","1",0,8,16,NA
1000402,"P00155042","M","26-35",11,"B","1",1,6,16,NA
1005299,"P00240242","M","26-35",2,"B","3",1,1,15,16
1003789,"P00144442","F","26-35",0,"A","0",0,5,14,NA
1005105,"P00212142","M","51-55",7,"C","1",1,8,NA,NA
1002743,"P00213542","M","26-35",14,"B","2",0,11,NA,NA
1004834,"P00279442","F","46-50",9,"C","1",1,16,NA,NA
1001088,"P00223742","F","0-17",10,"A","3",0,2,4,8
1002016,"P00221042","F","55+",2,"C","2",1,1,17,NA
1005505,"P00289942","F","26-35",4,"B","3",1,3,4,5
1002748,"P00275842","M","26-35",4,"B","1",0,2,9,15
1003945,"P00113242","F","46-50",1,"B","2",0,1,6,8
1001194,"P00103042","F","26-35",1,"B","1",1,1,14,NA
1005950,"P00093242","M","26-35",4,"B","2",1,8,NA,NA
1001737,"P00179442","M","36-45",20,"B","3",0,11,NA,NA
1001361,"P00173542","F","26-35",0,"A","1",0,5,8,NA
1004877,"P00028842","M","26-35",4,"B","2",0,6,8,NA
1001884,"P00192042","M","46-50",20,"B","1",1,5,9,14
1002485,"P00117742","M","36-45",14,"C","3",1,8,NA,NA
1005078,"P00157542","M","46-50",7,"C","1",0,8,14,NA
1002641,"P00021042","M","26-35",6,"C","1",1,8,14,NA
1000148,"P00014542","M","51-55",17,"B","3",1,8,NA,NA
1001675,"P00173942","F","26-35",6,"B","1",1,1,5,6
1003635,"P00052842","M","51-55",1,"C","1",0,10,15,NA
1000934,"P0095642","F","36-45",7,"A","0",0,5,NA,NA
1002818,"P00295342","M","26-35",12,"B","2",0,2,8,NA
1005840,"P00266642","F","0-17",0,"C","1",0,1,8,9
1003689,"P00077042","M","26-35",0,"C","1",1,5,NA,NA
1003841,"P00277442","M","46-50",18,"A","4+",0,1,6,15
1004956,"P00121142","M","36-45",15,"B","1",1,8,NA,NA
1004785,"P00024342","F","26-35",14,"A","0",1,8,14,NA
1001883,"P00022642","F","51-55",0,"B","1",1,5,8,NA
1001120,"P00277442","M","18-25",4,"A","0",1,1,6,15
1004088,"P00127242","M","26-35",3,"B","4+",1,1,16,NA
1004879,"P00150542","M","26-35",3,"A","2",0,5,NA,NA
1000877,"P00334242","M","26-35",0,"B","1",1,1,8,NA
1000178,"P00127742","M","55+",17,"A","2",1,1,2,15
1005002,"P00254242","M","26-35",17,"B","1",1,5,11,12
1001168,"P0098442","F","26-35",0,"A","1",1,7,8,NA
1000400,"P00116842","F","18-25",3,"C","2",1,2,5,8
1001998,"P00086442","F","51-55",9,"B","2",1,8,13,15
1003677,"P00116742","F","26-35",12,"C","1",0,11,NA,NA
1005306,"P00220442","F","26-35",17,"B","4+",0,5,14,NA
1002952,"P00029842","M","26-35",4,"B","1",0,8,NA,NA
1003080,"P00056142","M","26-35",20,"A","4+",1,5,8,NA
1004422,"P00346442","M","26-35",5,"A","1",1,1,2,14
1002781,"P00034042","M","36-45",4,"C","2",1,1,2,16
1004592,"P00303142","M","18-25",4,"A","3",0,5,NA,NA
1005795,"P00185342","M","26-35",1,"A","1",1,3,4,NA
1004384,"P00211142","M","26-35",0,"B","0",1,5,NA,NA
1000552,"P00262242","M","51-55",18,"C","3",1,1,11,16
1001472,"P00147742","M","26-35",7,"C","1",0,1,16,NA
1005523,"P00221942","M","36-45",0,"B","2",1,1,8,NA
1005312,"P00195442","M","26-35",1,"A","1",0,5,NA,NA
1001926,"P00177342","F","0-17",0,"B","1",0,8,NA,NA
1001449,"P00044742","M","36-45",20,"A","1",1,5,NA,NA
1003882,"P00086042","M","55+",14,"C","1",1,8,14,17
1001495,"P0095842","M","18-25",0,"C","1",0,3,4,12
1002179,"P00302342","F","26-35",0,"C","1",1,8,NA,NA
1000117,"P00274442","M","26-35",17,"A","2",1,1,18,NA
1004512,"P00273742","M","26-35",1,"C","1",1,1,17,NA
1002486,"P00289342","M","18-25",12,"A","1",0,5,8,14
1001260,"P00295342","M","26-35",17,"B","0",0,2,8,NA
1001707,"P00173542","M","51-55",1,"C","0",1,5,8,NA
1005355,"P00114042","M","55+",0,"B","0",1,5,14,NA
1002664,"P00035942","M","36-45",7,"B","1",0,1,5,18
1004499,"P00004742","M","26-35",6,"C","1",0,6,16,NA
1001875,"P00362642","M","36-45",12,"A","2",0,8,18,NA
1001680,"P00135342","M","26-35",20,"A","3",1,5,NA,NA
1003685,"P00213742","M","26-35",5,"C","1",1,8,NA,NA
1005507,"P00115642","M","46-50",7,"C","1",1,8,14,NA
1003095,"P00230442","F","26-35",3,"B","1",1,14,NA,NA
1001087,"P00178842","M","26-35",16,"B","1",0,2,4,9
1001120,"P00358342","M","18-25",4,"A","0",1,11,15,16
1003401,"P00220142","M","36-45",7,"B","1",0,1,15,NA
1005160,"P00028842","F","18-25",4,"C","2",0,6,8,NA
1003154,"P00144042","F","26-35",4,"A","0",0,2,3,4
1004506,"P00101742","M","51-55",16,"B","2",0,12,14,NA
1000787,"P00328042","M","18-25",4,"C","2",0,8,14,NA
1000801,"P00329542","F","26-35",20,"C","4+",0,1,15,16
1004042,"P00100442","M","36-45",15,"B","3",1,2,4,5
1001358,"P00346142","M","36-45",17,"C","1",1,1,15,NA
1004962,"P00251342","M","26-35",6,"B","1",0,5,11,NA
1003819,"P00032042","M","26-35",12,"B","1",0,1,2,15
1005458,"P00222842","F","18-25",2,"A","1",0,8,NA,NA
1002820,"P00243842","F","36-45",0,"A","2",0,8,NA,NA
1005049,"P00118742","M","26-35",12,"B","0",0,5,11,NA
1005367,"P00246342","M","18-25",4,"A","1",0,11,15,NA
1005399,"P00074642","M","26-35",1,"C","1",1,5,9,14
1000744,"P00111142","M","26-35",17,"B","2",0,1,15,16
1001448,"P00114942","F","26-35",3,"A","1",0,1,15,16
1000307,"P00118742","M","51-55",16,"B","0",1,5,11,NA
1000481,"P00113042","M","46-50",7,"C","2",0,11,16,NA
1001930,"P00282042","M","26-35",15,"A","4+",0,5,15,NA
1003519,"P00051042","F","26-35",14,"A","1",1,8,NA,NA
1003603,"P00127442","F","36-45",7,"B","0",1,1,2,15
1000343,"P00112342","F","36-45",3,"B","2",0,13,16,NA
1002383,"P00315542","F","26-35",14,"B","3",0,5,NA,NA
1005468,"P00105542","M","26-35",12,"A","1",0,8,NA,NA
1000008,"P00070542","M","26-35",12,"C","4+",1,3,15,NA
1000889,"P00059242","M","46-50",20,"A","1",0,11,NA,NA
1000368,"P00154242","M","26-35",0,"C","1",0,8,NA,NA
1000390,"P00216542","M","26-35",4,"A","0",0,8,NA,NA
1003946,"P00157642","F","26-35",12,"B","0",0,1,14,16
1005749,"P00062842","M","26-35",2,"A","0",1,1,2,13
1000705,"P00180242","M","26-35",4,"C","0",1,11,NA,NA
1000136,"P00357142","M","18-25",2,"B","3",0,8,NA,NA
1001274,"P00126142","M","46-50",7,"B","4+",1,8,16,NA
1002526,"P00245642","M","55+",13,"B","4+",1,5,11,12
1005788,"P00301242","M","26-35",0,"A","4+",0,5,NA,NA
1003250,"P00216342","M","26-35",4,"B","2",1,3,4,5
1001976,"P00296942","M","36-45",5,"C","0",1,8,NA,NA
1001231,"P00286542","M","26-35",12,"C","1",0,8,NA,NA
1005180,"P00343542","M","36-45",11,"C","1",1,8,11,NA
1005387,"P00120742","F","26-35",1,"B","4+",1,8,12,17
1000139,"P00249642","F","26-35",20,"C","2",0,3,5,NA
1000056,"P00150142","M","36-45",20,"C","0",1,8,NA,NA
1003308,"P00034742","F","18-25",20,"B","3",1,5,14,17
1001683,"P00287242","F","26-35",7,"C","3",0,5,NA,NA
1001404,"P00354442","M","51-55",16,"B","1",1,5,NA,NA
1004382,"P00303142","M","26-35",18,"C","3",1,5,NA,NA
1001605,"P00124642","F","18-25",0,"B","1",0,16,NA,NA
1002103,"P00278642","M","36-45",12,"C","0",0,5,NA,NA
1004326,"P00303242","F","46-50",13,"B","1",1,5,8,NA
1001040,"P00195442","M","26-35",11,"C","1",1,5,NA,NA
1004104,"P0097342","M","18-25",16,"C","1",0,1,15,16
1002446,"P00356742","M","18-25",7,"B","0",0,5,NA,NA
1001051,"P00045542","F","26-35",0,"A","0",1,5,14,NA
1002497,"P00086642","F","51-55",14,"A","3",1,8,NA,NA
1004411,"P00120742","M","18-25",4,"A","3",0,8,12,17
1002913,"P00216042","F","36-45",20,"B","3",1,5,8,NA
1003853,"P00259342","M","26-35",14,"B","1",1,5,9,NA
1003900,"P00277942","F","26-35",14,"B","2",1,1,NA,NA
1003728,"P00220642","M","18-25",4,"B","1",0,8,NA,NA
1001329,"P00158542","M","18-25",14,"B","3",0,5,6,13
1003690,"P00151142","M","18-25",0,"B","2",0,6,16,NA
1003550,"P00303242","M","26-35",5,"B","0",0,5,8,NA
1000854,"P00046742","F","26-35",16,"B","1",0,1,2,15
1004488,"P00080342","M","36-45",7,"B","1",0,1,6,8
1005163,"P00209742","M","46-50",6,"B","1",1,1,11,15
1001071,"P00186342","M","51-55",16,"C","0",0,2,4,9
1003312,"P00324642","F","18-25",4,"A","3",0,8,NA,NA
1003868,"P00332942","M","18-25",12,"C","0",0,5,8,NA
1004615,"P00128942","M","26-35",17,"C","1",1,1,11,NA
1003762,"P00250942","M","51-55",6,"B","0",1,11,16,NA
1001544,"P00006942","M","26-35",12,"B","2",0,1,5,6
1000820,"P00016742","M","36-45",7,"A","1",0,1,15,16
1001317,"P00249542","M","46-50",7,"B","3",1,1,5,15
1003724,"P00299142","M","36-45",6,"B","4+",0,5,NA,NA
1001791,"P00004142","M","18-25",4,"C","1",1,8,17,NA
1003032,"P00205842","M","26-35",0,"A","1",1,5,NA,NA
1000858,"P00218542","M","36-45",14,"B","4+",0,11,15,NA
1001853,"P00196542","M","51-55",0,"B","1",1,5,8,14
1001021,"P00115942","M","36-45",0,"C","3",0,8,17,NA
1001053,"P00057942","M","36-45",0,"C","2",1,1,2,6
1006039,"P00086642","F","46-50",0,"B","4+",1,8,NA,NA
1000438,"P00171542","M","18-25",11,"A","3",0,2,5,14
1003771,"P00180842","M","26-35",1,"B","0",0,11,NA,NA
1004115,"P00016342","M","26-35",15,"B","1",0,1,2,8
1004388,"P00273742","M","46-50",3,"B","2",1,1,17,NA
