"enrollee_id","city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours"
20619,"city_31",0.807,"Female","No","No","Masters","STEM","5","","","1",94
30325,"city_27",0.848,"Male","Has","No","Graduate","Other","3","50-99","Pvt Ltd","never",32
28311,"city_103",0.92,"Male","Has","Part","Masters","Humanities","10","10000+","Public Sector","1",32
16681,"city_138",0.836,"Female","Has","No","Phd","Humanities","18","50-99","Pvt Ltd",">4",23
26677,"city_80",0.847,"Male","No","Part","Graduate","STEM","4","50-99","Pvt Ltd","never",19
21137,"city_50",0.896,"Male","Has","No","Masters","Business Degree",">20","","",">4",110
32215,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","100-500","Pvt Ltd",">4",49
18839,"city_104",0.924,"Male","Has","No","High","","7","50-99","Pvt Ltd",">4",146
24695,"city_90",0.698,"Male","Has","No","Graduate","STEM","10","<10","Pvt Ltd","4",4
21642,"city_128",0.527,"Male","Has","Part","Masters","STEM","8","50-99","Pvt Ltd",">4",37
22535,"city_114",0.926,"Male","Has","No","Masters","STEM",">20","1000-4999","Pvt Ltd",">4",37
7449,"city_67",0.855,"Male","Has","No","Graduate","STEM","6","10/49","Pvt Ltd","3",12
15390,"city_74",0.579,"Male","No","","","","2","","","1",13
4567,"city_105",0.794,"Female","Has","Part","Graduate","STEM","5","1000-4999","Pvt Ltd","1",65
26212,"city_61",0.913,"Male","No","No","Masters","STEM",">20","10000+","Pvt Ltd",">4",124
2235,"city_173",0.878,"Male","Has","No","Masters","STEM",">20","10000+","Pvt Ltd",">4",222
6130,"city_138",0.836,"Male","No","No","","","16","50-99","","never",156
27680,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","500-999","Pvt Ltd","1",188
29621,"city_67",0.855,"Male","Has","Part","High","","10","","","1",16
1464,"city_103",0.92,"Male","No","No","Primary","","1","","Pvt Ltd","never",57
5725,"city_9",0.743,"Female","Has","No","Masters","STEM","7","50-99","Pvt Ltd","2",222
18134,"city_175",0.776,"Male","Has","No","Masters","STEM","11","","","1",153
18362,"city_21",0.624,"Male","Has","No","Graduate","STEM","5","1000-4999","Pvt Ltd","1",89
30117,"city_103",0.92,"Male","Has","No","Graduate","STEM","10","1000-4999","Pvt Ltd","1",32
5218,"city_103",0.92,"Male","Has","No","Graduate","STEM","19","1000-4999","Pvt Ltd","1",96
29770,"city_83",0.923,"Female","No","Full","Graduate","STEM","4","10000+","","1",206
22072,"city_103",0.92,"Female","Has","No","Graduate","STEM",">20","","","2",218
16256,"city_103",0.92,"Male","Has","No","Primary","",">20","1000-4999","Pvt Ltd",">4",88
6033,"city_16",0.91,"Male","Has","No","Graduate","STEM","6","<10","Pvt Ltd","4",35
16177,"city_114",0.926,"Male","No","Full","Graduate","STEM","10","","","never",67
21225,"city_16",0.91,"Male","Has","No","Graduate","STEM","9","10/49","Funded Startup","1",17
1565,"city_103",0.92,"Male","No","Full","High","","6","","NGO","never",56
28550,"city_114",0.926,"Male","No","No","Graduate","STEM","<1","","",">4",26
317,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","10000+","Pvt Ltd","1",105
10758,"city_13",0.827,"Male","No","Full","Graduate","STEM","12","","","never",3
3176,"city_75",0.939,"Male","Has","No","Graduate","STEM",">20","100-500","Pvt Ltd",">4",7
7383,"city_67",0.855,"Female","Has","Part","Graduate","STEM","7","10000+","Pvt Ltd","1",41
15404,"city_102",0.804,"Male","Has","Full","Masters","Humanities","1","50-99","","never",4
29744,"city_105",0.794,"Male","Has","No","Masters","STEM","4","<10","Pvt Ltd","1",59
22006,"city_102",0.804,"Male","No","Full","Graduate","STEM","4","","","never",54
2462,"city_104",0.924,"Male","Has","No","Graduate","STEM","10","10/49","","4",158
16612,"city_114",0.926,"Male","Has","No","Masters","STEM",">20","10/49","Pvt Ltd",">4",56
8433,"city_100",0.887,"Male","Has","No","Masters","Humanities",">20","100-500","Pvt Ltd",">4",48
26167,"city_21",0.624,"Male","Has","No","Masters","STEM","6","10/49","Early Stage Startup","1",83
30452,"city_27",0.848,"Male","Has","No","Graduate","STEM","9","<10","Pvt Ltd",">4",8
4986,"city_23",0.899,"Male","Has","No","Graduate","STEM",">20","50-99","Funded Startup","1",6
5378,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","100-500","","1",126
16980,"city_16",0.91,"Male","No","No","High","","5","","","never",66
21196,"city_75",0.939,"Male","Has","No","Graduate","STEM","4","10000+","Pvt Ltd","2",41
30226,"city_16",0.91,"Female","Has","No","High","","2","10/49","","1",25
17636,"city_114",0.926,"Male","No","No","Masters","STEM",">20","10000+","Pvt Ltd",">4",308
5798,"city_67",0.855,"Male","Has","No","Graduate","STEM","6","50-99","Pvt Ltd","2",6
4109,"city_133",0.742,"Male","Has","No","Graduate","STEM","12","50-99","Pvt Ltd","1",30
31868,"city_160",0.92,"Male","Has","No","Graduate","STEM","17","100-500","Pvt Ltd","1",6
22725,"city_21",0.624,"Male","No","Full","Masters","STEM","4","","","never",12
26737,"city_99",0.915,"Male","No","No","Graduate","STEM",">20","50-99","Pvt Ltd",">4",50
6866,"city_103",0.92,"Male","No","No","","","4","","","never",154
28687,"city_75",0.939,"Male","Has","No","Phd","STEM","8","1000-4999","Public Sector","3",302
5763,"city_149",0.689,"Male","Has","No","Primary","","16","","",">4",154
12673,"city_36",0.893,"Male","Has","No","High","","8","100-500","Pvt Ltd",">4",110
20341,"city_103",0.92,"Male","Has","No","Masters","STEM","3","10000+","Pvt Ltd","1",47
4111,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","10/49","Funded Startup","4",95
17421,"city_111",0.698,"Male","No","Full","Graduate","STEM","4","","","1",9
7056,"city_10",0.895,"Male","Has","No","Graduate","Other","15","10/49","Pvt Ltd","never",164
29401,"city_103",0.92,"Female","Has","No","Graduate","STEM",">20","<10","Pvt Ltd","1",7
23712,"city_143",0.74,"Male","No","No","Masters","STEM","14","1000-4999","NGO","3",96
5127,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","500-999","Pvt Ltd",">4",34
24929,"city_21",0.624,"Male","Has","Full","Masters","STEM","2","500-999","","1",7
25266,"city_64",0.666,"Male","Has","No","Graduate","No Major","9","100-500","","1",53
10370,"city_75",0.939,"Male","Has","No","Masters","STEM","16","5000-9999","NGO","2",166
30687,"city_114",0.926,"Male","Has","No","Masters","STEM","16","5000-9999","Pvt Ltd","3",160
7372,"city_97",0.925,"Male","Has","No","Masters","STEM",">20","","","1",82
27395,"city_50",0.896,"Male","No","Full","Graduate","STEM","5","","","never",145
23942,"city_103",0.92,"Male","Has","No","Graduate","STEM","13","10/49","Funded Startup","4",21
18784,"city_16",0.91,"Male","No","Full","Masters","STEM","11","5000-9999","NGO",">4",90
24229,"city_114",0.926,"Male","Has","Full","Masters","STEM","11","1000-4999","Public Sector","1",13
26477,"city_67",0.855,"Male","Has","Full","Graduate","STEM","5","10/49","Pvt Ltd","1",240
31979,"city_103",0.92,"Male","Has","No","Masters","STEM",">20","10000+","Pvt Ltd",">4",330
16674,"city_114",0.926,"Male","Has","No","Masters","STEM","11","50-99","Pvt Ltd","3",80
18759,"city_21",0.624,"Male","Has","No","Graduate","STEM","6","10000+","Pvt Ltd","1",114
15942,"city_103",0.92,"Male","Has","Part","Graduate","STEM","7","","Public Sector","2",310
7208,"city_21",0.624,"Male","Has","No","Graduate","STEM","5","","","2",188
24622,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","","",">4",77
25588,"city_165",0.903,"Male","No","No","Phd","STEM",">20","1000-4999","Public Sector",">4",54
24179,"city_21",0.624,"Male","No","Part","Phd","STEM","8","10/49","Pvt Ltd","4",34
27408,"city_103",0.92,"Male","Has","No","Graduate","STEM","10","10000+","Pvt Ltd","2",43
22155,"city_102",0.804,"Male","Has","No","Masters","STEM","19","","","1",74
7695,"city_150",0.698,"Male","Has","No","Graduate","STEM","8","100-500","NGO","1",66
20979,"city_102",0.804,"Male","Has","No","Masters","STEM",">20","100-500","Pvt Ltd","1",18
11832,"city_36",0.893,"Female","Has","No","Masters","STEM","14","100-500","Pvt Ltd","1",34
7780,"city_75",0.939,"Female","Has","No","Graduate","Other","9","50-99","Pvt Ltd","1",51
6306,"city_103",0.92,"Male","Has","No","Graduate","STEM","7","<10","Pvt Ltd",">4",90
27690,"city_103",0.92,"Male","Has","No","Graduate","STEM","10","100-500","Pvt Ltd","2",13
11528,"city_16",0.91,"Male","Has","No","Graduate","No Major","18","100-500","Pvt Ltd",">4",104
25211,"city_136",0.897,"Male","Has","No","Graduate","STEM","6","10000+","Pvt Ltd","2",70
190,"city_103",0.92,"Male","Has","No","High","","3","","","1",38
7167,"city_136",0.897,"Male","Has","No","Masters","STEM","6","10/49","","1",8
22595,"city_100",0.887,"Male","Has","No","Primary","","4","10/49","Pvt Ltd","1",14
9118,"city_123",0.738,"Male","No","Full","High","","3","","","1",4
16229,"city_160",0.92,"Male","No","No","Primary","","3","","","never",138
9980,"city_103",0.92,"Male","Has","Full","Masters","STEM","8","1000-4999","Pvt Ltd","2",38
75,"city_105",0.794,"Male","No","No","High","","3","","Pvt Ltd","never",14
24144,"city_28",0.939,"Male","Has","Part","High","","3","5000-9999","Pvt Ltd",">4",166
24537,"city_114",0.926,"Male","Has","No","Masters","STEM","14","50-99","Pvt Ltd","4",334
11812,"city_23",0.899,"Male","Has","No","Masters","Humanities","19","10/49","Pvt Ltd","2",150
26230,"city_104",0.924,"Male","Has","No","Phd","Other",">20","10000+","Pvt Ltd",">4",12
3215,"city_160",0.92,"Female","Has","No","Masters","STEM","9","10/49","Early Stage Startup","1",16
2180,"city_21",0.624,"Male","Has","No","Graduate","STEM","2","50-99","Pvt Ltd","1",50
9709,"city_103",0.92,"Male","Has","No","","","10","100-500","","1",10
30066,"city_160",0.92,"Male","Has","No","Graduate","Humanities","3","","","1",54
28214,"city_16",0.91,"Female","Has","No","Graduate","STEM","10","100-500","Pvt Ltd","1",12
33128,"city_173",0.878,"Male","Has","No","Masters","STEM",">20","1000-4999","Pvt Ltd",">4",163
18146,"city_100",0.887,"Male","Has","Part","Graduate","STEM","6","100-500","Pvt Ltd","3",79
12190,"city_160",0.92,"Male","Has","Full","High","","4","","","1",154
29348,"city_103",0.92,"Male","Has","No","Graduate","STEM","20","100-500","NGO","2",56
9365,"city_65",0.802,"Male","Has","No","Graduate","STEM","15","<10","Pvt Ltd",">4",36
18198,"city_16",0.91,"Male","Has","No","Graduate","STEM","19","50-99","Pvt Ltd","1",116
713,"city_103",0.92,"Male","Has","No","Graduate","STEM","8","10000+","Other","2",122
4252,"city_103",0.92,"Male","Has","No","Masters","Other",">20","","",">4",14
12870,"city_16",0.91,"Male","Has","No","High","","2","1000-4999","Pvt Ltd","2",42
30390,"city_19",0.682,"Male","Has","No","Graduate","Humanities",">20","","","1",19
8044,"city_16",0.91,"Female","No","","Graduate","STEM","4","","Pvt Ltd","never",65
2083,"city_103",0.92,"Male","Has","No","Graduate","STEM","8","50-99","Pvt Ltd","2",19
11675,"city_75",0.939,"Male","Has","No","Graduate","STEM","18","50-99","Pvt Ltd",">4",170
4336,"city_114",0.926,"Male","Has","No","Masters","STEM","10","10000+","Pvt Ltd","1",42
33125,"city_103",0.92,"Male","Has","No","Graduate","STEM","11","10/49","Funded Startup","1",24
897,"city_103",0.92,"Female","Has","No","Graduate","STEM","8","1000-4999","Pvt Ltd","2",102
22919,"city_50",0.896,"Male","Has","No","Masters","STEM","10","<10","Early Stage Startup","4",10
3639,"city_73",0.754,"Male","Has","No","Masters","STEM","4","50-99","NGO","1",76
28116,"city_143",0.74,"Male","Has","No","Masters","STEM","5","10000+","NGO","1",10
3170,"city_103",0.92,"Male","Has","No","Graduate","STEM","14","100-500","Pvt Ltd","1",30
17819,"city_21",0.624,"Male","Has","Full","Masters","STEM","5","","","1",69
14995,"city_114",0.926,"Male","No","Full","High","","2","","","1",5
20733,"city_16",0.91,"Male","Has","No","Masters","STEM","10","10000+","Pvt Ltd",">4",47
20595,"city_98",0.949,"Male","Has","No","Masters","STEM",">20","50-99","Pvt Ltd","1",34
5630,"city_21",0.624,"Male","No","Full","Graduate","STEM","2","","","never",100
31651,"city_16",0.91,"Male","No","Full","Primary","","9","","","never",29
29495,"city_152",0.698,"Male","No","No","Graduate","STEM","4","50-99","Pvt Ltd","1",65
8585,"city_103",0.92,"Female","Has","No","Graduate","STEM","16","50-99","Other","1",14
27401,"city_103",0.92,"Male","Has","No","Graduate","STEM","15","10000+","Pvt Ltd","2",30
24653,"city_160",0.92,"Male","Has","No","Graduate","STEM","7","10/49","Pvt Ltd","1",43
11648,"city_36",0.893,"Male","No","Full","Graduate","STEM","13","","","1",28
26815,"city_149",0.689,"Male","No","No","Graduate","STEM","9","","","1",3
3992,"city_160",0.92,"Male","Has","No","Graduate","STEM","4","50-99","Pvt Ltd","1",204
33127,"city_103",0.92,"Male","Has","No","Graduate","STEM","4","<10","Pvt Ltd","4",2
15891,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","10000+","Pvt Ltd",">4",18
12135,"city_116",0.743,"Male","Has","Part","Graduate","STEM","8","50-99","Pvt Ltd","1",88
26813,"city_103",0.92,"Male","No","Full","Graduate","STEM","2","10000+","Pvt Ltd","1",29
22249,"city_16",0.91,"Male","Has","No","Masters","STEM",">20","10/49","Pvt Ltd","1",12
25625,"city_97",0.925,"Male","Has","No","Masters","STEM","15","","","2",54
30704,"city_103",0.92,"Male","Has","No","Graduate","STEM","15","10/49","Other",">4",30
19163,"city_114",0.926,"Male","Has","No","Masters","STEM","18","100-500","Pvt Ltd","1",18
2234,"city_136",0.897,"Male","Has","No","Masters","STEM","8","10000+","Pvt Ltd","1",81
5159,"city_23",0.899,"Male","Has","No","High","","18","","",">4",108
16692,"city_114",0.926,"Male","Has","No","Masters","STEM","13","100-500","","2",96
31680,"city_114",0.926,"Male","No","No","Masters","Humanities","11","50-99","Pvt Ltd","3",90
20208,"city_103",0.92,"Male","Has","No","Graduate","STEM","7","100-500","Pvt Ltd","1",57
23056,"city_84",0.698,"Male","Has","No","Graduate","STEM","11","50-99","Pvt Ltd","4",39
1061,"city_160",0.92,"Male","Has","No","Graduate","STEM","13","10/49","Pvt Ltd",">4",34
31617,"city_103",0.92,"Male","Has","No","Graduate","STEM","18","100-500","Funded Startup","1",42
4284,"city_16",0.91,"Male","Has","No","Graduate","STEM",">20","500-999","Pvt Ltd",">4",149
20359,"city_103",0.92,"Male","Has","No","Graduate","Humanities","3","50-99","Funded Startup","1",18
20136,"city_36",0.893,"Male","Has","Full","Graduate","STEM",">20","10/49","Pvt Ltd","1",48
14633,"city_71",0.884,"Male","Has","No","Masters","STEM","14","50-99","Pvt Ltd","1",37
2283,"city_114",0.926,"Male","Has","No","Graduate","STEM","19","100-500","Pvt Ltd","2",16
12932,"city_138",0.836,"Male","Has","No","Graduate","STEM",">20","50-99","Funded Startup","2",17
18240,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","50-99","Pvt Ltd","1",130
8534,"city_21",0.624,"Male","Has","No","Graduate","STEM","6","100-500","Pvt Ltd","3",89
4772,"city_103",0.92,"Male","Has","No","Graduate","STEM","15","","","3",14
20686,"city_136",0.897,"Female","Has","No","Masters","STEM","2","1000-4999","Pvt Ltd","1",56
25992,"city_114",0.926,"Male","Has","No","Graduate","STEM","18","50-99","Public Sector",">4",19
4454,"city_99",0.915,"Male","No","No","Graduate","STEM","15","100-500","Pvt Ltd","1",204
18543,"city_114",0.926,"Male","No","Full","High","","10","","Public Sector","1",22
11040,"city_103",0.92,"Male","Has","No","Graduate","STEM","16","5000-9999","Pvt Ltd","1",136
32407,"city_103",0.92,"Male","Has","No","Graduate","STEM","15","10000+","Pvt Ltd",">4",242
5926,"city_165",0.903,"Male","Has","No","Masters","STEM",">20","50-99","Funded Startup",">4",12
211,"city_20",0.796,"Male","Has","No","Masters","STEM","17","","Pvt Ltd","1",4
26476,"city_173",0.878,"Male","Has","No","High","","11","5000-9999","Pvt Ltd","3",178
31043,"city_114",0.926,"Male","Has","Full","Graduate","STEM","14","100-500","Pvt Ltd","2",52
17964,"city_114",0.926,"Male","Has","No","Phd","STEM","20","500-999","Pvt Ltd","1",31
28262,"city_45",0.89,"Male","Has","Full","Graduate","STEM","7","50-99","Pvt Ltd","1",37
17739,"city_21",0.624,"Male","Has","Full","Graduate","STEM","<1","10/49","Pvt Ltd","1",22
24086,"city_57",0.866,"Male","No","No","Graduate","STEM","10","","","1",50
12543,"city_136",0.897,"Male","No","No","Masters","STEM","15","1000-4999","Public Sector",">4",29
8251,"city_21",0.624,"Male","Has","No","Masters","STEM","5","10000+","","1",194
32368,"city_103",0.92,"Male","Has","No","Masters","Humanities",">20","10/49","Pvt Ltd",">4",63
26864,"city_103",0.92,"Male","No","Full","Graduate","STEM","6","","","1",34
5574,"city_103",0.92,"Male","Has","No","Graduate","STEM","3","1000-4999","Pvt Ltd","2",5
15138,"city_103",0.92,"Male","Has","No","Graduate","STEM","12","50-99","Pvt Ltd","1",97
26900,"city_114",0.926,"Male","Has","No","Masters","STEM","12","500-999","","1",83
1217,"city_105",0.794,"Male","Has","No","Graduate","STEM","12","50-99","Pvt Ltd",">4",25
28077,"city_103",0.92,"Male","No","Part","Graduate","STEM","7","1000-4999","NGO","4",6
25302,"city_144",0.84,"Male","Has","No","Graduate","STEM","17","100-500","Pvt Ltd",">4",20
14791,"city_1",0.847,"Male","Has","Full","Graduate","STEM","10","5000-9999","Pvt Ltd","1",9
28922,"city_104",0.924,"Male","Has","No","Masters","Other","9","100-500","Pvt Ltd","4",7
31184,"city_114",0.926,"Male","Has","No","Masters","STEM","8","10/49","Pvt Ltd","1",130
31918,"city_10",0.895,"Male","Has","No","Graduate","STEM","11","<10","Pvt Ltd","1",80
9784,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",9
20394,"city_21",0.624,"Male","Has","No","Graduate","STEM","17","100-500","Pvt Ltd","3",42
5117,"city_160",0.92,"Male","No","Part","Graduate","STEM","5","","Pvt Ltd","never",13
20785,"city_28",0.939,"Male","No","Full","High","","3","50-99","Public Sector","1",30
7039,"city_16",0.91,"Male","Has","No","Graduate","STEM",">20","","","2",79
27821,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","10000+","Pvt Ltd",">4",7
26696,"city_21",0.624,"Male","Has","No","Masters","STEM","6","50-99","Pvt Ltd",">4",23
15357,"city_103",0.92,"Male","Has","No","Graduate","Business Degree","5","","","2",25
27428,"city_136",0.897,"Male","Has","No","Masters","Humanities","10","","","2",80
21654,"city_16",0.91,"Male","Has","No","Graduate","STEM","4","500-999","Pvt Ltd","1",87
5847,"city_21",0.624,"Male","Has","Full","Masters","STEM","11","","","2",146
24397,"city_21",0.624,"Female","No","Full","Graduate","STEM","3","50-99","Pvt Ltd","3",86
21812,"city_160",0.92,"Female","Has","No","Graduate","STEM","6","50-99","Pvt Ltd","1",36
5297,"city_36",0.893,"Male","Has","Part","Graduate","Humanities",">20","1000-4999","Pvt Ltd","1",96
17647,"city_103",0.92,"Male","Has","No","Masters","STEM","15","10000+","Pvt Ltd","never",6
8414,"city_160",0.92,"Female","Has","No","Masters","STEM","11","10000+","Pvt Ltd","2",24
26717,"city_103",0.92,"Male","Has","No","Graduate","STEM","16","10000+","Pvt Ltd",">4",24
