"Date","Location","MinTemp","MaxTemp","Rainfall","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday"
2016-02-13,"Albury",16.9,37.7,0,"W",30,"SSE","N",2,7,55,16,1011.7,1007.3,NA,NA,22.7,35.8,"No"
2016-02-14,"Albury",22.3,30.3,0,"WNW",44,"NW","WSW",15,20,53,27,1008.9,1008.2,6,NA,23.4,28.9,"No"
2016-02-15,"Albury",13.8,28.9,0,"WSW",41,"SSE","WSW",4,19,58,27,1012,1009,NA,NA,20.1,27.9,"No"
2016-02-16,"Albury",15.2,26.3,0,"W",43,"WSW","W",20,26,54,24,1010.9,1009.8,NA,NA,19.4,24.8,"No"
2016-02-17,"Albury",10.5,26.7,0,"W",39,"W","W",11,15,45,34,1013.6,1010,NA,1,16,24.1,"No"
2016-02-18,"Albury",12.7,30.5,0,"WSW",28,"SSE","WSW",9,13,63,32,1009.8,1006.8,NA,NA,18.5,28.7,"No"
2016-02-19,"Albury",13.9,32.9,0,"WSW",44,"ESE","NW",7,20,64,24,1011.4,1009.7,NA,NA,19.9,31.1,"No"
2016-02-20,"Albury",15.2,31.2,0,"WNW",30,"S","WSW",6,17,61,28,1017.2,1016.6,NA,NA,20.7,30.2,"No"
2016-02-21,"Albury",13.6,34.4,0,"NNW",33,"SSE","NW",9,11,60,22,1023.6,1020.5,NA,NA,19.8,33.5,"No"
2016-02-22,"Albury",15.2,35.4,0,"ESE",31,"SSE","SW",4,13,51,30,1023.9,1019.6,NA,1,21.8,34.1,"No"
2016-02-23,"Albury",20.1,39.5,0,"N",41,"ESE","NNW",11,20,46,19,1017.7,1013.3,NA,NA,26.5,38.4,"No"
2016-02-24,"Albury",22.5,40.9,0,"NNW",54,"SE","NNW",7,30,43,15,1012.2,1008.1,4,1,28.3,40.1,"No"
2016-02-25,"Albury",22.4,36.4,0,"NW",43,"SW","WSW",7,15,38,36,1009.6,1009.1,8,7,28.3,32.3,"No"
2016-02-26,"Albury",14.9,31.2,0.2,"WNW",33,NA,"W",0,19,51,19,1015.8,1014.7,NA,NA,21.5,29.9,"No"
2016-02-27,"Albury",14.7,33.1,0,"SW",30,"SE","SSW",7,13,58,28,1018.7,1015.6,NA,NA,20.9,32.3,"No"
2016-02-28,"Albury",16.2,33.4,0,"W",31,"ESE","WSW",7,15,59,21,1018,1015.1,NA,NA,22.1,31.3,"No"
2016-02-29,"Albury",15.4,32.3,0,"SSW",24,"ESE","S",6,15,56,34,1019.5,1016.5,NA,NA,21.6,30.3,"No"
2016-03-01,"Albury",14.7,35.1,0,"NW",37,"SE","WNW",7,13,63,21,1019.5,1016.1,NA,NA,20.8,33.7,"No"
2016-03-02,"Albury",16.8,37.2,0,"W",31,"E","WNW",4,11,48,10,1018.1,1015.9,8,NA,23.9,36.4,"No"
2016-03-03,"Albury",16.7,35,0,"NNW",50,"ESE","E",9,7,37,24,1019.4,1016.2,7,8,25.3,33.2,"No"
2016-03-04,"Albury",15.9,37,0,"N",26,"E","S",7,7,57,22,1020,1016.1,NA,NA,23,36.3,"No"
2016-03-05,"Albury",20.3,38.5,0,"NNE",28,"SE","SW",4,9,50,23,1019.3,1016.5,NA,NA,25.9,37.5,"No"
2016-03-06,"Albury",20.5,37.1,0,"NNE",46,"NE","SSE",6,11,54,29,1019.8,1017.2,8,8,25.7,34.1,"No"
2016-03-07,"Albury",17.4,38.5,0.2,"NNE",24,"ESE","S",6,9,56,22,1019.7,1016.7,NA,NA,24.8,36.5,"No"
2016-03-08,"Albury",20.1,38.3,0,"NE",30,"ESE","NNW",7,11,56,14,1020.1,1017.2,NA,NA,25.6,37,"No"
2016-03-09,"Albury",18.7,38.3,0,"WSW",39,"SE","WNW",9,20,49,24,1018.9,1015.4,1,2,25.7,35.2,"No"
2016-03-10,"Albury",24.6,36.8,0,"N",41,"SE","SE",4,9,54,27,1018.9,1015,8,5,26.1,35.5,"No"
2016-03-11,"Albury",20,32.3,0.6,"W",46,"E","NE",9,20,70,43,1017.5,1015.1,2,8,24.5,30.6,"No"
2016-03-12,"Albury",20,34,6.6,"S",28,"ESE","E",7,7,80,45,1019,1016.9,8,4,23.1,32.5,"Yes"
2016-03-13,"Albury",19.4,35.2,0.2,"W",30,"SSE","W",4,13,71,26,1018.6,1015.1,NA,NA,22.7,33.5,"No"
2016-03-14,"Albury",18,35.1,0,"SSW",37,"SE","SW",7,22,59,21,1016.8,1013.7,NA,NA,22.5,33.8,"No"
2016-03-15,"Albury",20.4,31.8,0,"SE",33,"SE","SSE",17,15,54,35,1018,1015.4,NA,NA,23.2,30,"No"
2016-03-16,"Albury",19.2,30.8,0,"SE",24,"SE","ENE",7,11,61,30,1019.2,1015.5,7,NA,20.8,30.1,"No"
2016-03-17,"Albury",16,31.1,0.4,"SE",26,"SE","SSE",6,11,64,35,1015.5,1010.3,NA,NA,20.5,28.8,"No"
2016-03-18,"Albury",19.8,21.1,10.4,"W",74,"N","W",22,37,98,55,996,1000.3,NA,1,20,19.9,"Yes"
2016-03-19,"Albury",9.5,21.1,10.4,"SE",46,"W","WSW",13,13,67,38,1013.7,1013.4,NA,8,12.9,19.4,"Yes"
2016-03-20,"Albury",12.7,24.2,0,"SSE",31,"SE","S",20,17,50,29,1018.2,1016.5,6,1,15.3,23,"No"
2016-03-21,"Albury",12.4,25.2,0,"SSE",35,"SE","SE",19,19,54,34,1019.7,1016.5,NA,NA,16.6,24,"No"
2016-03-22,"Albury",11,26.5,0,"SW",31,"S","E",6,9,67,34,1019.4,1015.6,NA,NA,15.8,24.9,"No"
2016-03-23,"Albury",10,27.1,0,"SW",30,NA,"W",0,13,81,31,1018.6,1017.1,NA,NA,14.2,25.4,"No"
2016-03-24,"Albury",14.2,25.1,0,"SSE",20,NA,"SSE",0,13,69,47,1020.3,1017.8,5,6,17.8,24.3,"No"
2016-03-25,"Albury",15.5,28.4,0.2,"W",35,NA,"W",0,22,85,39,1018.7,1015.9,2,1,16.6,26.9,"No"
2016-03-26,"Albury",8.9,26.4,0,"WSW",30,NA,"WSW",0,11,72,32,1018.4,1016.3,NA,NA,13.4,25.3,"No"
2016-03-27,"Albury",10,27.4,0,"NE",28,"E","NNW",2,9,75,31,1018.2,1015.6,NA,NA,14.5,26.2,"No"
2016-03-28,"Albury",11.7,27.8,0,"NW",30,NA,"WNW",0,15,74,31,1017.4,1014,6,NA,15.3,26.9,"No"
2016-03-29,"Albury",13.8,26.2,0,"NW",35,NA,"W",0,11,69,27,1017.7,1014.9,6,NA,16,25.5,"No"
2016-03-30,"Albury",11.8,20.4,0.8,"NNE",33,NA,"SE",0,15,71,66,1017.5,1016.1,NA,6,15.9,17.9,"No"
2016-03-31,"Albury",9.5,25.5,0,"SE",19,"SE","S",4,11,83,42,1018.9,1016.4,NA,NA,13,23.1,"No"
2016-04-01,"Albury",9.2,27,0,"N",28,NA,"N",0,17,81,22,1018.1,1015,NA,NA,13,26,"No"
2016-04-02,"Albury",8.6,30,0,"W",41,NA,"W",0,19,73,21,1017.7,1015.2,NA,NA,12.6,29.1,"No"
2016-04-03,"Albury",7.6,26.5,0,"SE",22,"ESE","WNW",6,6,54,29,1023.6,1020.4,NA,NA,17.9,26.2,"No"
2016-04-04,"Albury",9.7,28.8,0,"SE",20,"SE","S",11,9,59,35,1022.2,1016.5,NA,NA,17.3,27.1,"No"
2016-04-05,"Albury",10.5,31.8,0,"N",35,"ENE","NNW",9,22,65,23,1017,1011.9,NA,NA,18.8,31,"No"
2016-04-06,"Albury",7.9,26.4,0,"WNW",39,NA,"WNW",0,15,50,32,1014.5,1014,NA,7,17.7,23.2,"No"
2016-04-07,"Albury",5.3,22.5,0,"E",22,"SSE","SSW",7,11,84,36,1024.1,1020.9,NA,NA,12,22.1,"No"
2016-04-08,"Albury",11.4,19.7,0,"W",17,NA,"WSW",0,9,66,64,1023,1021.8,5,4,13.7,16.7,"No"
2016-04-09,"Albury",4.8,23.1,0.4,"WSW",24,"ENE","WSW",6,19,70,33,1023.7,1020.2,NA,NA,12.9,22.9,"No"
2016-04-10,"Albury",6.1,24,0,"W",39,"SE","W",6,17,71,42,1021.9,1018.4,NA,2,13.7,21.9,"No"
2016-04-11,"Albury",8.7,24.9,0,"WNW",31,"NNE","W",4,17,70,36,1020.6,1017.8,NA,NA,14.4,24.5,"No"
2016-04-12,"Albury",8.4,24.7,0,"SW",22,"ENE","SSW",2,9,63,39,1022.9,1019.7,NA,NA,15.4,24.3,"No"
2016-04-13,"Albury",8.9,27.2,0,"N",24,NA,"ENE",0,9,61,34,1027,1023.6,NA,3,16.2,26.8,"No"
2016-04-14,"Albury",10,28.7,0,"NNW",24,"SSE","N",4,11,63,27,1028.5,1024.2,NA,3,16.9,28.2,"No"
2016-04-15,"Albury",11,27.6,0,"ESE",17,"SE","ESE",7,9,73,38,1024.9,1019.7,NA,8,15.7,26.1,"No"
2016-04-16,"Albury",12.9,28.5,0,"NE",31,"SW","SW",7,7,68,31,1020.4,1016.5,NA,1,17.4,27.1,"No"
2016-04-17,"Albury",11.7,25.4,0,"NE",30,NA,"SE",0,15,68,39,1021.7,1017.9,NA,NA,17.1,25.1,"No"
2016-04-18,"Albury",10.6,25.7,3.8,"NNE",28,"ESE","NE",9,11,72,36,1021.8,1017.9,1,2,16.5,24.8,"Yes"
2016-04-19,"Albury",9.5,26.1,0,"ENE",20,NA,"SSE",0,7,67,41,1022.3,1019.4,NA,2,16.4,24.8,"No"
2016-04-20,"Albury",8.8,27,0,"SE",19,NA,"SE",0,7,68,29,1024.4,1020.8,NA,NA,15.7,26.1,"No"
2016-04-21,"Albury",9.8,22.4,0,"ESE",19,"NE","SSE",4,9,61,55,1022.7,1019.6,NA,3,17.4,22,"No"
2016-04-22,"Albury",12.8,23.6,3.6,"SE",31,"SE","SE",7,13,97,46,1022.6,1019.9,8,3,16.5,23,"Yes"
2016-04-23,"Albury",9.4,22.7,0,"ESE",28,"ESE","SE",20,13,49,24,1027.4,1024.9,NA,NA,14.5,22,"No"
2016-04-24,"Albury",7.1,24.9,0,"SE",20,NA,"W",0,7,63,28,1031.4,1028.1,NA,NA,13.1,23.9,"No"
2016-04-25,"Albury",6.7,24.3,0,"SE",15,"ENE","SE",2,9,68,36,1032.4,1028.2,NA,NA,14.6,23.8,"No"
2016-04-26,"Albury",6.1,25.4,0,"E",17,NA,"S",0,9,66,31,1030.5,1025.7,NA,NA,14.2,24.4,"No"
2016-04-27,"Albury",6.4,26.6,0,"N",39,"E","N",6,17,62,35,1026.6,1020.5,NA,NA,14,25.1,"No"
2016-04-28,"Albury",11.7,28.5,0,"N",28,NA,"NNW",0,13,70,32,1022.9,1018.9,8,2,15.7,27.4,"No"
2016-04-29,"Albury",12.1,26.9,0,"NW",59,"SSE","ESE",2,7,68,92,1019.2,1017.5,1,8,17.3,17.6,"No"
2016-04-30,"Albury",16.8,23.4,8.6,"N",30,"NNE","N",2,19,100,64,1018.1,1015.1,8,8,17.9,22.5,"Yes"
2016-05-01,"Albury",13.2,20,4,"N",63,"WNW","W",30,28,74,46,1012.1,1013,3,4,16.7,17.7,"Yes"
2016-05-02,"Albury",3.8,16.9,0,"N",26,"SE","NNW",7,15,88,44,1017.8,1014.4,5,8,9.7,16.1,"No"
2016-05-03,"Albury",6.6,22.2,0,"NNW",52,"SE","WNW",6,35,66,32,1011.4,1006,5,NA,13.5,21.4,"No"
2016-05-04,"Albury",11,17.5,2.4,"W",37,"WNW","NNW",9,9,73,39,1017.2,1017,NA,NA,12.5,17,"Yes"
2016-05-05,"Albury",10.5,20.3,0,"SSW",19,"SE","SE",7,9,73,45,1021.5,1017.6,8,1,12.7,19.6,"No"
2016-05-06,"Albury",6.7,25.2,0,"NNE",22,NA,"NNW",0,9,73,38,1020.6,1016.7,NA,1,13.5,24.7,"No"
2016-05-07,"Albury",7.9,24,0,"ESE",15,"ENE","SSE",6,9,79,47,1021.1,1017.4,NA,NA,14.4,23.1,"No"
2016-05-08,"Albury",13.9,18.2,13.2,"NE",41,"ENE","NNE",13,26,100,98,1014.6,1008.6,7,8,14.7,16.1,"Yes"
2016-05-09,"Albury",14.7,18.3,46,"WNW",54,"NE","WNW",17,4,90,73,1003.4,1000.7,8,1,17.9,17.6,"Yes"
2016-05-10,"Albury",13.4,17.3,13.4,"NNW",54,"NW","W",22,22,85,69,1005.2,1008.4,8,8,14.8,16.9,"Yes"
2016-05-11,"Albury",9.3,15.8,2.2,"WNW",43,"WNW","WNW",13,24,82,63,1017.6,1015.4,7,8,11,14.5,"Yes"
2016-05-12,"Albury",10.8,17.2,2,"NNW",44,"WNW","W",17,19,96,86,1016.3,1017,8,8,14.4,15.8,"Yes"
2016-05-13,"Albury",13.6,20.2,0.2,"W",24,"NW","NW",15,6,82,58,1024,1022.8,8,NA,15.9,18.8,"No"
2016-05-14,"Albury",8.7,20.3,0,"NE",48,NA,"N",0,11,91,64,1025.5,1021.6,6,8,12.6,19.4,"No"
2016-05-15,"Albury",9.5,22.1,0,"NW",30,"E","W",4,20,86,49,1017.7,1015.6,NA,NA,15.3,21.3,"No"
2016-05-16,"Albury",6.3,20.4,0,"NE",26,NA,"N",0,13,100,47,1021.5,1017.4,8,1,10,19.2,"No"
2016-05-17,"Albury",9.1,18.3,4.8,"WNW",33,"WNW","WNW",15,7,78,53,1019.3,1018.5,NA,4,14.2,18.1,"Yes"
2016-05-18,"Albury",8,17.3,0,"NW",24,"E","W",4,11,80,57,1020.6,1018,4,8,12.6,16.3,"No"
2016-05-19,"Albury",8.3,17.3,0,"WNW",39,NA,"WNW",0,17,82,63,1019.7,1016.5,8,8,12.1,16.4,"No"
2016-05-20,"Albury",12.1,18.5,0,"W",35,"W","W",9,15,79,47,1022.7,1021.9,5,NA,15.1,17.9,"No"
2016-05-21,"Albury",4.7,17.9,0,"SE",13,NA,"ESE",0,7,91,64,1027.1,1022.9,NA,NA,9.4,16.6,"No"
2016-05-22,"Albury",5.3,21.8,0,"E",20,"ENE","E",2,13,81,55,1023.7,1018.1,NA,NA,11.9,21.4,"No"
2016-05-23,"Albury",10.4,15.8,3,"WNW",59,"W","WSW",28,26,75,55,1018.6,1018.5,8,8,13.5,14.9,"Yes"
2016-05-24,"Albury",8.2,16.2,0,"W",33,"W","WSW",9,20,90,57,1021.5,1018.9,5,1,10.4,15.5,"No"
2016-05-25,"Albury",2.5,14.8,0,"NE",19,NA,"NE",0,11,99,72,1019.5,1014.8,8,5,7,13.7,"No"
2016-05-26,"Albury",6.9,14.1,15.2,"W",31,"NNE","WNW",7,15,100,84,1005,1002.3,8,8,10.5,13,"Yes"
2016-05-27,"Albury",4.8,14,1.2,"W",35,"SW","WSW",7,15,86,58,1008.5,1007.2,NA,7,8,13.7,"Yes"
2016-05-28,"Albury",3.8,14.4,0,"W",31,NA,"WSW",0,17,86,45,1008.9,1009.5,8,NA,8.2,14.3,"No"
2016-05-29,"Albury",0.5,14.1,0.2,"W",24,"ESE","SW",6,9,99,54,1020,1019.8,8,5,5.2,14,"No"
2016-05-30,"Albury",3.6,14.1,0,"ENE",15,"SE",NA,2,0,89,57,1027.6,1025.8,NA,NA,6.2,13.7,"No"
2016-05-31,"Albury",1.8,15.9,0,"SE",19,NA,"SE",0,13,88,50,1031.1,1027.3,NA,NA,6.6,15.6,"No"
2016-06-01,"Albury",3.2,17.3,0,"ESE",15,"WNW","ESE",4,9,80,53,1029.2,1026.1,NA,NA,8,17.1,"No"
2016-06-02,"Albury",3.3,18.1,0,"E",13,NA,"E",0,6,85,51,1027.9,1024.2,NA,NA,8.4,17.3,"No"
2016-06-03,"Albury",4.7,13.6,0,"ESE",28,"SE",NA,7,0,73,76,1025,1021.8,8,8,10.4,11.8,"No"
2016-06-04,"Albury",9.8,14.9,11.6,"SE",30,"SE","SE",13,15,95,92,1015.2,1008.3,8,8,11.6,13.5,"Yes"
2016-06-05,"Albury",10.8,14.6,11.6,"W",35,"NW","W",6,9,97,89,1006.9,1002.4,8,8,12.9,14.2,"Yes"
2016-06-06,"Albury",7.2,12.3,1.2,"W",31,"WNW","NW",11,17,99,80,1004.9,1004,8,8,9,11.6,"Yes"
2016-06-07,"Albury",9,12.6,3.6,"WNW",37,"WNW","NW",17,15,92,81,1004.3,1004.9,8,8,9.8,11.6,"Yes"
2016-06-08,"Albury",9.8,14.6,1.8,"NNE",35,"NNW","NNE",9,17,88,76,1013.1,1010.1,8,8,11.4,14,"Yes"
2016-06-09,"Albury",11.4,15.7,7.2,"N",48,"NNW","WNW",17,13,80,78,1005.5,1006.7,8,8,14.2,13.5,"Yes"
2016-06-10,"Albury",10.5,13.8,3,"WNW",28,"WNW","WNW",15,19,89,64,1020,1020.3,8,6,10.9,12.5,"Yes"
2016-06-11,"Albury",9.6,13,1.2,"WSW",35,"WNW","W",13,20,69,67,1025,1025.9,NA,1,10.7,12.6,"Yes"
2016-06-12,"Albury",0.4,12.7,0,"SE",15,NA,"SE",0,7,85,50,1037.5,1036.1,NA,NA,4.9,11.2,"No"
2016-06-13,"Albury",-0.6,13.8,0.2,"E",17,NA,"SE",0,6,88,59,1039.9,1036,NA,NA,4,13.4,"No"
2016-06-14,"Albury",0.9,15.2,0,"E",13,"NNE","W",6,4,90,58,1038.2,1035.2,1,NA,6.6,14.5,"No"
2016-06-15,"Albury",0.9,11.4,0.2,"E",15,"SSE","E",7,6,100,70,1034.8,1030.5,8,NA,3.5,11,"No"
2016-06-16,"Albury",0,12.9,0,"ESE",17,NA,"ESE",0,11,95,70,1026,1019.7,NA,8,4.1,12.8,"No"
2016-06-17,"Albury",4.1,15.9,7.6,"NNW",24,"N","WNW",13,9,97,83,1014.7,1013.5,8,8,12.9,14.8,"Yes"
2016-06-18,"Albury",9,17.6,0.2,"ESE",15,NA,"NE",0,7,100,71,1018,1017.1,7,8,10.2,16.2,"No"
2016-06-19,"Albury",8.1,14.3,0.2,"SSE",44,"NNW","S",2,9,99,74,1017.7,1010.8,NA,1,10,13.9,"No"
2016-06-20,"Albury",10,16.6,14.4,"SSE",35,"W","WSW",7,22,90,83,1000.1,998.4,8,8,11.9,13.9,"Yes"
2016-06-21,"Albury",8.8,11.6,1.4,"NNW",41,"NW","NNW",9,24,89,84,1004.9,1003.4,7,8,10.4,10.4,"Yes"
2016-06-22,"Albury",9.1,13.7,12.6,"WNW",43,"WNW","WNW",24,20,89,68,1005.9,1008.4,8,7,10.6,12.5,"Yes"
2016-06-23,"Albury",9,13.2,0.2,"W",63,"NNW","N",13,17,85,73,1010.3,1005.4,7,8,10.4,12.5,"No"
2016-06-24,"Albury",6.6,8.2,4,"W",48,"WNW","W",28,26,87,85,1004.8,1007.6,8,6,7,7.5,"Yes"
2016-06-25,"Albury",-0.8,10.5,2.6,"W",30,"E","W",7,20,95,61,1022.9,1021.9,NA,NA,2.8,9.9,"Yes"
2016-06-26,"Albury",-1.3,7.5,0,"ENE",15,NA,"SE",0,4,99,79,1023.4,1019,8,NA,2.3,7.4,"No"
2016-06-27,"Albury",2.1,10.6,0.2,"WNW",28,NA,"WSW",0,20,100,68,1019.5,1018.7,8,8,2.5,9.9,"No"
2016-06-28,"Albury",2.5,11.8,0.2,"W",17,"E","WSW",7,6,100,80,1026.9,1026.6,8,8,6.2,10.9,"No"
2016-06-29,"Albury",6.2,13.5,0.8,"ENE",15,"NE","ENE",9,9,99,75,1029.8,1026.4,8,8,9.5,13.1,"No"
2016-06-30,"Albury",3,11.2,0,"W",59,"N","N",15,13,90,82,1019.3,1013.2,8,8,8.5,9.6,"No"
2016-07-01,"Albury",5.2,11.4,11.4,"NW",26,"WSW","W",9,7,96,76,1019,1021.4,8,8,7.3,11.1,"Yes"
2016-07-02,"Albury",7.2,12.5,0.4,"WSW",17,NA,"W",0,11,88,86,1027.7,1026.4,8,8,9.3,11.6,"No"
2016-07-03,"Albury",7.9,12.7,0.2,"W",20,"ENE","W",6,13,100,82,1027.5,1024.7,8,7,9.7,12.6,"No"
2016-07-04,"Albury",8.2,11.7,0.2,"E",19,NA,"ENE",0,13,97,70,1021.1,1016,8,8,9,11.6,"No"
2016-07-05,"Albury",6.7,10.6,1,"WNW",19,NA,"SSE",0,7,92,99,1011.2,1008.6,8,8,7.8,8.9,"No"
2016-07-06,"Albury",7.2,15.4,7.6,"WSW",43,"W","WSW",19,20,80,60,1010.3,1010.4,NA,2,10.6,15,"Yes"
2016-07-07,"Albury",4,16.5,0,"SE",30,NA,"ESE",0,11,100,58,1020.7,1019.1,NA,5,8.3,16.2,"No"
2016-07-08,"Albury",6.5,11.8,0.2,"S",17,"S","E",2,2,96,94,1022.7,1020.8,8,8,9.2,11.5,"No"
2016-07-09,"Albury",7,15.8,2,"NE",13,NA,"NNE",0,9,100,76,1025.5,1023.1,8,8,9,13.9,"Yes"
2016-07-10,"Albury",6.2,14,0,"NE",28,NA,"NNE",0,15,100,74,1023.8,1018.9,3,6,9.1,13.4,"No"
2016-07-11,"Albury",9.1,16.2,16.6,"N",44,"N","N",22,19,82,52,1009.3,1007.9,8,1,12.8,15.7,"Yes"
2016-07-12,"Albury",8.6,12.9,0.4,"NW",69,"N","NW",19,37,79,61,1007.3,1004.2,8,NA,9.3,12,"No"
2016-07-13,"Albury",3.6,9.5,9.6,"WNW",54,"WNW","WNW",24,19,87,66,1019.3,1023.1,8,8,4.3,8.9,"Yes"
