userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received
1509088,17,21,1996,9,male,431,502,254,235,80,235,76,0,4
1403738,19,8,1994,2,female,276,500,320,254,328,250,226,4,102
1339774,24,22,1989,11,male,695,503,207,250,360,212,201,38,159
1855227,17,26,1996,8,female,511,507,221,247,68,246,52,1,16
1112369,15,13,1998,2,female,595,501,276,271,177,101,102,170,75
1270387,16,22,1997,1,female,566,505,232,271,177,70,33,201,144
1884288,23,21,1990,8,female,333,514,158,270,378,245,114,25,264
1071670,17,18,1996,12,female,683,514,291,271,520,238,390,33,130
1999717,23,30,1990,3,male,667,505,260,267,143,267,107,0,36
1727788,15,7,1998,8,female,130,514,354,264,478,264,429,0,49
1758410,27,19,1986,2,male,608,515,365,290,184,18,39,272,145
1224356,24,30,1989,5,female,598,504,246,277,495,142,154,135,341
1318180,40,8,1973,5,female,1706,517,413,279,390,254,95,25,295
1748710,41,10,1972,5,male,480,508,464,279,16,279,14,0,2
2028245,18,20,1995,12,female,304,515,475,283,128,283,125,0,3
1035246,25,19,1988,5,female,542,502,167,283,237,283,218,0,19
1169146,23,20,1990,6,female,1507,509,194,308,512,149,176,159,336
1515966,17,4,1996,5,male,354,502,357,296,98,295,36,1,62
1558128,18,13,1995,2,male,283,509,354,322,94,0,52,322,42
1394096,18,5,1995,1,female,658,509,335,317,975,116,281,201,694
1090439,19,26,1994,12,female,437,515,306,312,164,312,127,0,37
1490525,21,4,1992,12,male,847,513,151,344,61,344,39,0,22
1421308,22,30,1991,11,female,1210,510,77,339,428,339,283,0,145
1930301,18,15,1995,3,female,529,514,264,361,299,11,54,350,245
1127556,21,4,1992,3,female,494,514,202,367,290,349,206,18,84
1360603,27,3,1986,1,female,2174,505,293,360,416,295,301,65,115
1185393,17,31,1996,5,female,352,517,214,360,239,360,120,0,119
1195126,23,8,1990,6,female,659,514,332,370,21,201,8,169,13
2121204,18,20,1995,7,female,395,500,434,376,253,104,160,272,93
1500324,28,4,1985,11,female,257,509,443,392,403,252,322,140,81
2079370,26,27,1987,7,female,84,500,251,382,242,334,118,48,124
2187814,20,18,1993,10,female,474,517,382,397,515,154,115,243,400
1731682,16,26,1997,8,male,523,513,302,409,569,366,276,43,293
2188174,14,21,1999,1,male,350,505,399,415,92,415,47,0,45
1941218,24,8,1989,12,female,552,509,175,395,68,395,56,0,12
1401608,17,30,1996,6,male,511,500,376,417,355,417,235,0,120
1005719,35,12,1978,3,female,625,508,373,402,400,402,305,0,95
1561986,18,15,1995,9,male,285,508,363,444,134,444,116,0,18
2162098,23,18,1990,9,male,518,511,295,460,294,207,160,253,134
1252264,15,14,1998,8,male,388,513,432,461,935,224,421,237,514
1714065,21,5,1992,5,female,1327,512,281,466,204,455,99,11,105
1870848,31,13,1982,8,female,975,505,218,514,955,283,410,231,545
1371797,29,8,1984,9,female,615,503,355,484,553,424,395,60,158
1765464,13,10,2000,3,female,545,515,274,560,326,436,222,124,104
1680987,19,29,1994,1,female,824,515,429,561,170,511,112,50,58
2042749,40,8,1973,2,female,55,500,437,524,418,504,376,20,42
1355593,22,26,1991,6,female,653,502,339,568,342,35,133,533,209
1015194,19,29,1994,11,female,1167,515,228,590,720,309,281,281,439
1352993,19,8,1994,5,male,301,512,261,588,461,569,291,19,170
1776442,29,3,1984,4,male,373,516,327,603,646,603,605,0,41
1314160,16,9,1997,7,male,328,507,312,647,134,124,49,523,85
1267953,18,30,1995,6,female,917,510,352,640,482,441,262,199,220
2007970,25,26,1988,9,female,555,500,144,655,1967,459,1454,196,513
1367290,29,10,1984,10,female,1238,515,236,612,443,612,351,0,92
1312201,24,21,1989,11,female,531,509,355,697,304,626,99,71,205
1427648,14,19,1999,10,female,249,502,309,678,482,582,247,96,235
1858755,19,6,1994,6,female,403,517,107,792,186,159,127,633,59
1791127,21,6,1992,2,female,139,500,151,779,986,777,411,2,575
1003485,23,19,1990,3,male,158,509,433,841,1272,519,445,322,827
1114385,19,20,1994,10,male,615,518,426,862,874,750,344,112,530
1450554,22,18,1991,5,female,337,515,247,833,1275,833,954,0,321
2042944,20,8,1993,4,female,213,509,269,926,561,165,253,761,308
1893435,21,28,1992,10,female,308,517,174,957,557,102,319,855,238
2038896,16,9,1997,9,male,128,504,351,932,1034,892,935,40,99
1629204,15,28,1998,7,female,283,517,265,985,1815,876,903,109,912
1178292,20,15,1993,5,female,444,504,386,994,782,99,134,895,648
1797904,20,28,1993,10,female,517,503,159,1121,564,308,220,813,344
1762869,17,20,1996,4,female,127,516,459,1008,527,971,229,37,298
1911739,16,18,1997,10,female,89,514,452,1022,1897,798,1342,224,555
1402105,19,29,1994,11,female,679,510,345,1038,126,1038,84,0,42
1560683,24,3,1989,12,female,345,508,262,1121,310,1121,207,0,103
2062572,23,16,1990,6,female,560,511,158,1045,883,1045,832,0,51
2077135,15,13,1998,12,female,126,507,357,1016,2053,1016,1308,0,745
1255871,20,9,1993,7,female,492,505,375,1160,185,262,64,898,121
1121397,25,14,1988,8,female,336,510,363,1265,1457,1265,1437,0,20
2058560,15,19,1998,4,female,458,518,380,1372,731,726,381,646,350
1570245,18,1,1995,2,female,369,509,320,1305,1435,1144,1039,161,396
2128944,18,6,1995,5,female,647,511,228,1424,872,1362,695,62,177
1125437,15,8,1998,3,male,533,516,338,1515,217,1515,171,0,46
2050576,16,4,1997,11,female,534,506,331,1412,1734,1412,951,0,783
1781327,17,17,1996,3,female,103,503,129,1559,2410,283,1372,1276,1038
1325855,25,31,1988,12,male,57,500,443,1794,1384,752,400,1042,984
2002459,25,8,1988,8,male,502,516,455,1831,144,1603,96,228,48
2111668,15,16,1998,4,female,512,501,323,1851,1935,1684,1050,167,885
1424987,18,13,1995,8,male,259,506,386,2231,1164,262,550,1969,614
1408748,14,1,1999,10,female,282,518,291,2164,1702,0,746,2164,956
1098258,21,16,1992,1,male,418,508,248,2035,987,1456,431,579,556
1779388,26,3,1987,9,female,1528,512,174,2094,944,2006,454,88,490
1462929,16,14,1997,8,female,438,511,441,2441,1321,1734,820,707,501
1416668,23,15,1990,9,female,227,510,388,2622,354,2473,345,149,9
1235613,17,28,1996,12,female,248,502,160,2604,409,2604,111,0,298
1235270,15,24,1998,4,male,89,516,381,6180,1779,1191,1453,4989,326
2114215,18,15,1995,3,male,412,518,262,4952,2907,73,2013,4879,894
1833243,21,5,1992,2,female,318,510,244,4897,1955,3919,1174,978,781
1684286,24,19,1989,10,female,1919,500,400,4174,2929,4088,2854,86,75
1164450,29,11,1984,3,male,384,502,278,6082,10758,5434,9465,648,1293
1842960,25,16,1988,5,female,77,509,54,10674,4440,10674,4280,0,160
1030102,14,14,1999,6,female,460,570,303,104,91,5,14,99,77
2074210,18,12,1995,4,male,272,525,186,103,27,93,18,10,9
1066217,21,7,1992,4,male,582,527,481,101,26,80,21,21,5
1876766,16,22,1997,5,female,384,573,340,102,22,102,11,0,11
1723665,22,16,1991,10,male,572,542,441,103,45,103,43,0,2
1769978,23,30,1990,7,male,226,568,427,107,163,82,116,25,47
1954118,24,5,1989,12,female,764,547,234,105,195,105,156,0,39
1920218,22,7,1991,2,male,583,559,246,113,41,98,41,15,0
1590939,19,31,1994,8,female,461,523,371,112,477,112,436,0,41
1742480,21,6,1992,2,male,324,525,268,117,144,7,38,110,106
2025806,15,2,1998,5,female,289,532,341,116,445,99,326,17,119
2014061,20,16,1993,6,male,488,542,472,117,23,116,13,1,10
1575070,23,25,1990,1,female,173,550,499,115,128,115,118,0,10
1615254,22,24,1991,9,male,300,524,302,120,260,64,125,56,135
1579332,33,21,1980,9,male,424,570,491,120,422,69,266,51,156
1946512,26,7,1987,7,female,1602,568,251,124,129,98,81,26,48
1368372,23,13,1990,6,female,783,547,387,123,466,89,244,34,222
2025911,23,25,1990,10,female,558,554,211,120,323,108,100,12,223
1868143,26,16,1987,4,male,213,529,195,123,139,123,133,0,6
1544588,24,28,1989,9,male,393,549,494,122,282,122,268,0,14
1733942,19,29,1994,1,female,478,519,452,127,240,49,85,78,155
1769244,17,19,1996,4,female,148,549,480,126,17,117,10,9,7
1012915,25,7,1988,10,female,485,571,197,130,222,129,180,1,42
1109042,23,16,1990,9,female,615,552,271,128,132,128,92,0,40
1793123,38,19,1975,5,female,819,547,331,129,187,129,132,0,55
1963358,14,1,1999,1,female,184,550,141,126,284,126,212,0,72
1567230,26,23,1987,2,male,1131,538,279,132,13,130,9,2,4
1025255,17,27,1996,9,female,369,541,356,131,46,103,15,28,31
1912582,15,11,1998,1,female,549,548,390,132,227,132,207,0,20
1750122,25,27,1988,2,female,42,525,277,136,278,136,211,0,67
1649153,17,26,1996,6,female,692,554,231,140,118,9,43,131,75
1314375,16,24,1997,1,male,375,548,380,139,81,89,23,50,58
1980781,16,9,1997,12,female,406,563,291,137,187,37,77,100,110
1741527,24,29,1989,6,female,778,566,385,143,306,63,141,80,165
1026091,20,5,1993,7,male,664,553,262,142,241,142,198,0,43
1401526,26,4,1987,7,male,432,537,470,138,229,138,212,0,17
2110487,37,13,1976,3,male,362,522,449,144,51,23,33,121,18
1657501,14,25,1999,5,female,160,548,241,144,422,134,332,10,90
1313859,22,15,1991,11,female,129,539,102,149,503,149,210,0,293
2004002,20,20,1993,1,male,326,541,378,155,56,0,6,155,50
1582964,17,6,1996,1,male,595,534,94,157,537,19,210,138,327
1083679,23,6,1990,7,female,572,538,400,154,2,58,0,96,2
1097371,23,20,1990,7,male,722,536,381,151,0,127,0,24,0
1827706,18,28,1995,12,male,351,570,411,154,114,154,88,0,26
1236798,20,27,1993,9,male,172,549,369,153,139,153,115,0,24
1830798,18,30,1995,11,female,630,540,395,154,430,154,363,0,67
1356203,19,3,1994,4,male,414,531,464,158,80,122,37,36,43
1324100,32,7,1981,5,female,559,523,279,159,108,150,25,9,83
1968526,34,10,1979,11,female,1506,542,248,161,470,142,293,19,177
2160226,16,5,1997,6,male,257,563,505,158,26,158,13,0,13
1096548,18,24,1995,3,female,293,549,348,159,14,159,12,0,2
1873637,21,23,1992,7,female,1141,542,120,161,293,161,180,0,113
1527497,38,5,1975,1,male,239,547,440,163,333,163,262,0,71
1842459,19,10,1994,9,female,584,537,374,166,184,74,26,92,158
1811960,16,7,1997,3,male,826,520,346,170,23,140,15,30,8
1932867,19,9,1994,5,male,544,560,329,165,656,131,535,34,121
1511791,24,3,1989,3,male,658,569,159,170,619,159,231,11,388
1804338,15,19,1998,6,female,373,524,296,168,52,168,35,0,17
1169562,16,21,1997,3,female,405,520,253,166,95,166,54,0,41
2056173,17,5,1996,11,female,373,539,412,174,33,5,19,169,14
2115626,17,10,1996,5,male,411,553,396,174,38,4,8,170,30
1470756,22,6,1991,2,female,285,534,365,180,317,82,197,98,120
1176785,24,5,1989,3,female,1033,544,313,181,79,132,39,49,40
1732244,19,24,1994,2,male,232,533,363,177,250,157,152,20,98
1556326,23,28,1990,12,female,526,565,234,179,111,177,103,2,8
2053153,22,4,1991,2,male,533,552,182,180,198,171,79,9,119
1058510,23,1,1990,1,male,171,521,486,181,17,181,12,0,5
1141704,26,15,1987,8,female,730,557,435,174,220,174,120,0,100
1036015,42,4,1971,12,male,940,555,261,179,136,179,54,0,82
1411900,22,9,1991,7,male,473,519,339,189,281,108,180,81,101
1835725,18,12,1995,2,female,270,537,479,185,120,161,84,24,36
2048322,17,24,1996,8,female,278,535,51,183,22,183,11,0,11
1358959,18,14,1995,1,male,150,532,463,185,86,185,82,0,4
2085716,20,8,1993,7,female,627,542,154,183,285,183,274,0,11
1265369,22,5,1991,9,male,970,561,134,198,219,0,69,198,150
1387428,21,23,1992,12,male,241,535,363,200,193,67,96,133,97
1714005,21,11,1992,4,female,991,562,267,196,192,48,81,148,111
2109126,19,20,1994,12,female,237,540,377,191,273,179,166,12,107
1783661,19,5,1994,3,female,649,535,333,191,277,168,263,23,14
1043067,14,13,1999,2,female,252,557,325,193,174,193,83,0,91
1390175,24,5,1989,10,female,165,553,491,203,60,112,20,91,40
1285348,18,10,1995,2,male,463,538,252,201,197,201,102,0,95
1677086,33,14,1980,11,male,866,529,436,217,94,47,75,170,19
1430096,16,16,1997,5,male,399,532,305,221,420,62,218,159,202
2105173,22,27,1991,4,female,203,563,427,221,1140,131,582,90,558
1354616,18,2,1995,4,male,532,524,301,212,90,174,64,38,26
1136424,18,16,1995,5,female,526,563,210,217,132,210,89,7,43
1199833,21,21,1992,7,female,968,531,335,215,229,212,184,3,45
1682477,33,8,1980,1,female,155,573,258,215,209,206,162,9,47
1070269,18,1,1995,4,male,279,521,232,221,31,221,25,0,6
1875113,17,16,1996,12,male,101,562,436,217,57,217,21,0,36
1700877,20,9,1993,6,female,285,555,406,213,54,213,44,0,10
1151345,16,10,1997,11,male,42,530,507,215,339,215,238,0,101
1530344,18,14,1995,5,male,225,573,511,228,64,0,28,228,36
1042588,40,18,1973,10,male,893,543,364,230,353,41,143,189,210
1630797,16,17,1997,7,female,663,519,341,224,268,86,157,138,111
1697701,15,18,1998,3,male,272,548,396,232,190,170,38,62,152
1888588,16,3,1997,3,female,152,527,353,229,485,208,174,21,311
1083714,16,12,1997,5,male,530,545,473,226,0,225,0,1,0
1792422,15,30,1998,9,female,319,550,256,240,129,131,33,109,96
1806173,19,30,1994,5,female,808,523,406,237,158,59,66,178,92
1123156,18,30,1995,8,female,236,535,271,236,804,86,525,150,279
2011826,16,12,1997,5,female,610,548,373,236,94,188,29,48,65
1684940,19,17,1994,5,female,583,532,357,237,173,223,150,14,23
1701148,21,3,1992,10,male,203,548,398,242,864,205,794,37,70
1514581,26,21,1987,2,male,543,535,471,245,122,245,83,0,39
2102413,18,9,1995,2,female,538,571,269,242,184,242,117,0,67
1777911,21,11,1992,1,female,471,531,54,246,323,246,178,0,145
1644512,21,15,1992,9,male,567,521,412,249,649,32,44,217,605
1979436,17,20,1996,12,female,690,524,386,256,35,166,26,90,9
1653304,18,7,1995,8,male,564,557,423,256,65,185,31,71,34
1386939,19,23,1994,6,female,1228,560,254,253,172,222,119,31,53
2067300,29,5,1984,9,male,678,524,317,249,282,190,168,59,114
1230289,14,4,1999,4,female,220,548,364,258,433,243,338,15,95
2111757,15,13,1998,10,female,229,546,424,249,901,217,581,32,320
2068114,19,9,1994,3,male,573,549,386,256,77,256,74,0,3
1162860,26,1,1987,1,male,561,569,503,260,92,260,81,0,11
1246434,20,23,1993,1,female,457,569,358,247,283,247,149,0,134
1370317,32,16,1981,3,male,703,548,378,248,325,248,295,0,30
1627165,13,2,2000,1,female,176,551,403,265,492,173,223,92,269
1832548,16,25,1997,8,male,601,526,374,269,186,248,165,21,21
1342664,18,6,1995,10,male,56,527,464,273,476,272,342,1,134
1610858,22,17,1991,8,male,167,538,437,269,100,269,97,0,3
2059475,19,19,1994,2,male,455,546,376,262,463,262,260,0,203
1558158,17,23,1996,12,male,802,565,384,290,139,0,105,290,34
2163365,18,20,1995,7,female,330,561,203,281,139,107,71,174,68
1128900,18,30,1995,7,male,268,521,423,279,156,123,98,156,58
2123575,25,22,1988,8,female,545,524,264,281,235,150,115,131,120
1236032,14,27,1999,7,female,459,536,302,285,324,285,195,0,129
1447141,17,20,1996,11,male,470,553,346,287,218,287,184,0,34
1563857,15,2,1998,4,female,608,559,496,306,67,199,59,107,8
1047011,14,25,1999,1,female,555,543,305,305,263,141,133,164,130
1977768,22,17,1991,1,male,183,560,445,298,267,224,147,74,120
1324555,17,17,1996,10,female,218,537,469,301,548,277,470,24,78
1067304,22,23,1991,10,male,403,561,496,303,192,303,144,0,48
1802722,32,2,1981,4,male,759,519,200,297,440,297,343,0,97
1306276,21,7,1992,1,female,47,556,285,311,204,57,121,254,83
1151983,20,30,1993,10,male,593,529,392,321,100,164,63,157,37
1358060,15,9,1998,10,female,470,536,319,327,204,211,127,116,77
2057581,16,27,1997,10,female,549,548,279,310,234,218,209,92,25
1385644,20,30,1993,5,female,258,555,268,309,449,82,204,227,245
1627318,21,1,1992,6,female,510,560,105,315,612,91,290,224,322
1145927,17,30,1996,6,female,707,544,391,319,117,286,78,33,39
1532574,21,30,1992,1,female,746,560,463,313,122,311,98,2,24
2104903,16,5,1997,4,female,331,562,56,327,509,327,418,0,91
1297141,28,1,1985,3,female,644,521,210,326,969,326,599,0,370
2153012,17,3,1996,1,male,698,559,372,332,60,36,14,296,46
1527633,20,25,1993,5,female,172,541,50,342,127,54,23,288,104
1761080,18,24,1995,4,male,709,542,434,330,50,153,43,177,7
1242646,15,8,1998,8,male,476,530,342,342,375,138,181,204,194
1744711,22,16,1991,12,male,735,535,180,346,768,304,488,42,280
2084547,26,3,1987,3,female,85,541,402,332,689,294,230,38,459
1296729,19,30,1994,12,female,559,519,131,351,1068,40,346,311,722
1629859,17,31,1996,7,male,567,555,460,369,253,106,94,263,159
1928269,23,19,1990,10,female,187,564,506,363,407,275,140,88,267
1401840,33,4,1980,9,female,575,546,446,356,269,265,188,91,81
2096213,20,7,1993,12,male,137,537,451,352,964,308,357,44,607
1200434,21,13,1992,7,female,363,548,476,394,204,26,27,368,177
1033795,17,24,1996,3,female,265,530,428,386,189,115,89,271,100
1538352,21,10,1992,12,female,705,523,245,377,462,236,84,141,378
1065117,31,6,1982,7,female,1619,571,314,390,558,129,239,261,319
1348279,16,10,1997,7,female,380,533,348,373,312,338,112,35,200
2090862,19,26,1994,4,female,306,555,351,388,245,360,121,28,124
1586821,20,2,1993,3,female,466,520,397,392,429,370,264,22,165
1347828,13,21,2000,7,female,357,552,349,390,815,374,550,16,265
1076509,18,19,1995,3,male,607,525,344,394,493,393,194,1,299
1127605,18,3,1995,3,female,316,548,342,379,284,379,248,0,36
1123772,15,26,1998,10,male,559,527,351,410,99,187,48,223,51
1788134,15,21,1998,11,female,925,564,355,410,341,215,99,195,242
1465731,23,12,1990,11,female,940,547,298,396,351,241,167,155,184
1798970,28,17,1985,10,male,964,539,312,400,275,259,132,141,143
1978687,18,27,1995,1,female,283,549,344,395,1246,182,820,213,426
1588459,20,21,1993,2,female,546,569,472,397,204,339,146,58,58
2033835,16,20,1997,1,female,324,559,366,404,299,388,207,16,92
1668944,15,22,1998,6,male,474,565,492,418,146,415,88,3,58
1754294,16,18,1997,11,female,395,570,183,398,244,396,104,2,140
1283203,31,2,1982,4,female,236,553,212,411,926,411,864,0,62
1054000,18,30,1995,3,female,491,535,365,436,295,95,93,341,202
1159724,17,18,1996,11,female,713,528,319,424,903,278,545,146,358
1604013,16,24,1997,6,female,470,550,184,431,858,281,254,150,604
1467565,18,25,1995,7,male,393,553,409,429,1245,166,561,263,684
1030768,24,23,1989,12,female,796,551,376,428,652,100,291,328,361
1106006,14,13,1999,5,female,275,567,312,422,208,373,146,49,62
1905874,18,23,1995,3,male,239,533,374,447,447,352,312,95,135
1823593,19,18,1994,3,female,178,548,442,427,311,413,115,14,196
1950491,15,7,1998,6,female,98,571,293,428,793,389,193,39,600
1618619,20,14,1993,12,male,219,538,469,440,1386,382,1162,58,224
1617569,14,25,1999,7,female,408,532,424,442,53,440,24,2,29
1360667,41,15,1972,2,female,693,567,301,423,803,420,387,3,416
1680230,19,12,1994,5,male,375,567,451,431,328,431,315,0,13
2108675,18,23,1995,11,female,351,560,297,439,990,439,788,0,202
1983446,17,5,1996,3,male,604,536,378,479,305,250,129,229,176
1203596,34,3,1979,9,female,796,566,99,469,665,262,197,207,468
1871809,26,13,1987,8,female,188,570,448,458,247,458,222,0,25
2003551,27,9,1986,12,female,693,537,359,454,402,454,207,0,195
1634110,23,22,1990,12,male,274,557,299,459,749,459,650,0,99
2016176,20,19,1993,12,male,857,567,353,508,228,245,135,263,93
1220723,19,12,1994,7,male,624,571,278,511,207,153,107,358,100
1150658,18,6,1995,10,female,366,566,142,500,422,238,80,262,342
1171922,24,17,1989,12,female,808,530,225,491,492,205,195,286,297
2100005,15,3,1998,8,female,522,559,226,502,1348,123,248,379,1100
2036805,24,28,1989,8,female,211,540,436,490,555,468,388,22,167
1845141,41,16,1972,9,female,1607,549,131,500,231,499,126,1,105
1446422,16,10,1997,4,male,397,561,336,515,185,515,143,0,42
1300012,21,16,1992,7,male,187,550,474,485,503,485,441,0,62
1196740,25,19,1988,9,female,176,562,464,494,442,494,391,0,51
1877803,16,24,1997,10,female,175,558,410,556,718,68,244,488,474
1104970,14,31,1999,1,female,41,531,410,547,540,299,212,248,328
1023709,20,8,1993,10,male,1362,538,292,524,350,231,266,293,84
2095612,32,15,1981,5,female,1321,541,303,560,723,183,230,377,493
1746305,20,14,1993,8,female,795,566,336,525,892,301,409,224,483
1894697,15,15,1998,11,male,541,557,413,546,323,524,123,22,200
1798724,19,15,1994,2,male,659,568,259,531,474,524,293,7,181
1687509,23,20,1990,5,female,284,528,478,552,749,491,649,61,100
1682022,13,23,2000,3,male,153,539,430,546,186,546,158,0,28
1330734,22,5,1991,6,male,798,567,460,537,349,537,316,0,33
2184455,30,29,1983,8,female,632,565,308,559,500,559,381,0,119
1264049,16,25,1997,11,female,626,572,401,578,542,34,216,544,326
2087962,40,10,1973,7,female,283,528,352,569,569,15,206,554,363
1372643,20,5,1993,1,male,307,534,473,579,480,141,194,438,286
1014064,25,18,1988,8,female,504,532,331,562,535,265,217,297,318
2154645,26,27,1987,12,male,1393,523,279,574,1102,303,965,271,137
1717710,17,5,1996,10,male,494,531,420,601,574,508,507,93,67
1947947,14,14,1999,5,female,272,528,255,583,128,583,117,0,11
1593001,18,28,1995,6,male,710,524,361,572,573,572,297,0,276
1072158,13,13,2000,1,female,579,572,418,649,934,1,87,648,847
1388560,15,14,1998,12,female,372,522,360,647,481,60,147,587,334
2039163,15,10,1998,5,female,34,566,533,639,157,174,51,465,106
1211645,23,30,1990,7,female,585,554,218,646,541,447,211,199,330
1815226,18,17,1995,8,female,516,540,353,647,1062,446,529,201,533
1344853,39,10,1974,6,female,1425,519,246,648,1048,211,443,437,605
1517869,18,24,1995,7,male,336,533,280,654,845,623,336,31,509
1979780,32,13,1981,11,male,560,527,433,653,569,503,130,150,439
1815638,20,24,1993,6,male,706,556,456,655,404,654,367,1,37
1204874,23,11,1990,5,male,232,558,520,654,51,654,36,0,15
1713212,19,7,1994,5,female,335,544,133,631,149,631,89,0,60
2086245,19,7,1994,11,male,256,561,497,660,527,660,464,0,63
1366359,22,26,1991,8,female,435,531,159,662,498,662,433,0,65
1437977,25,9,1988,10,female,341,543,445,627,1043,627,880,0,163
1585405,22,24,1991,4,male,855,537,345,725,1012,270,777,455,235
1165867,21,21,1992,11,male,333,563,340,725,390,656,226,69,164
1258113,21,15,1992,8,female,485,573,415,711,183,694,102,17,81
1458834,16,20,1997,9,female,256,566,388,721,998,538,524,183,474
1406067,18,19,1995,6,female,264,549,450,715,1620,685,959,30,661
1550540,20,21,1993,8,female,686,523,402,712,27,711,12,1,15
1143405,25,8,1988,6,male,271,535,353,716,572,716,531,0,41
1748853,39,27,1974,11,female,699,532,404,671,621,671,509,0,112
1399753,20,21,1993,7,female,85,543,461,703,1824,703,1463,0,361
1598445,20,7,1993,9,female,922,564,242,733,401,261,184,472,217
1239098,25,22,1988,12,female,2065,567,236,752,817,528,462,224,355
1114387,15,22,1998,10,female,562,557,493,743,216,720,174,23,42
1057523,20,22,1993,6,female,1545,542,229,795,1066,742,983,53,83
1651476,19,10,1994,6,female,731,550,390,733,601,729,491,4,110
2191779,16,16,1997,5,female,171,551,334,729,58,729,49,0,9
2040816,20,8,1993,11,male,518,567,496,784,241,784,169,0,72
1948490,23,8,1990,11,female,309,529,159,738,1755,738,1666,0,89
1381363,16,31,1997,7,male,207,553,291,854,356,570,223,284,133
1481316,18,24,1995,11,female,723,526,367,808,790,352,264,456,526
1123175,18,29,1995,11,female,274,538,212,812,902,469,623,343,279
1269874,17,22,1996,1,male,241,558,334,803,1003,298,688,505,315
1664920,20,4,1993,3,female,258,569,343,804,526,360,304,444,222
1634779,22,14,1991,1,female,1387,521,149,867,869,576,659,291,210
2168063,23,22,1990,6,female,888,559,378,829,1066,516,545,313,521
1806789,19,3,1994,10,female,323,563,277,816,3137,466,819,350,2318
1896796,20,2,1993,2,female,295,550,286,851,1323,611,666,240,657
1882273,19,27,1994,4,female,384,563,147,873,215,873,160,0,55
