"ID","Value"
194216,1400
183780,350
239607,150
209709,1100
186130,4400
229683,1900
209711,2700
233161,160
222328,925
170370,9000
208730,1800
241217,400
148564,325
244861,150
201932,400
203331,950
240335,575
225427,70
219449,750
240323,190
212229,2400
235799,550
213556,2300
244027,170
234207,550
237642,2100
231522,240
211791,675
205565,725
236480,5000
178224,12000
223445,600
242094,130
238669,325
182412,1300
214763,2700
241250,40
242411,260
214930,1200
54033,2700
229137,1700
235058,140
164853,1600
214771,2900
230483,2800
205225,450
245769,425
241273,700
244552,180
205276,90
224314,2100
229797,1000
158716,475
228637,500
238965,650
178253,4900
236441,9000
239732,5500
194851,550
243623,200
183894,475
190508,475
242894,170
235741,180
213743,400
212245,6500
242150,70
191390,875
201342,4200
205633,10000
190821,850
173146,5000
243649,40
214376,2000
178589,575
228707,650
244565,120
242841,280
191863,200
203388,2900
242623,100
225872,600
53827,30
208128,19500
212737,550
181307,475
242116,425
181199,775
184900,250
234788,425
244310,80
245517,140
186817,2700
224254,17500
232633,80
163488,2200
232290,300
51101,325
188782,1300
242085,250
213894,350
241171,875
207557,5500
241084,5500
199912,7000
201025,3300
202123,875
220605,1000
216416,1300
203902,1100
230512,350
240216,650
241954,190
243997,250
240256,250
239085,1800
241191,350
186385,3100
244162,425
181780,5500
242629,1100
213956,10500
212878,12000
218585,350
158956,1600
232566,160
211490,20
204021,200
226050,1700
207805,2400
207899,350
183973,675
188166,8000
190235,525
202808,950
201966,2300
242003,375
169515,60
223989,350
208291,170
242229,140
216260,775
196143,7500
240742,725
234515,1200
235860,230
178029,2700
233128,450
187176,180
198235,900
204502,600
203500,825
227498,325
198145,5000
220853,160
210367,450
229659,2600
190560,3100
222714,120
228737,4000
215786,875
212771,2200
194727,1900
229294,2400
237670,7000
216275,2800
237041,230
205590,5000
210257,41500
162407,525
186578,2300
243993,2100
240751,950
239899,800
232519,925
190738,2300
176137,5500
214416,925
237363,200
234646,550
244961,50
210258,3300
229446,825
203357,525
244660,140
244984,130
201217,300
228415,1200
232810,1000
244339,875
233125,1500
212818,325
245417,40
177969,425
228353,2100
220253,12500
241812,475
216435,14000
184341,875
236940,425
231144,240
210880,2000
244351,90
232626,425
222566,325
193881,7000
228644,3300
150894,140
244040,500
243042,110
212208,1100
215451,140
240007,475
214562,3100
243689,120
199008,70
244271,1300
230819,625
178379,220
224538,4400
219582,1100
220700,1300
181247,525
241870,110
187572,1300
241859,160
181021,90
244385,875
236170,1000
171490,450
158167,700
230382,1500
242241,80
208169,1200
211238,1000
244264,1600
193244,650
164766,750
244962,300
214390,700
180174,575
205750,750
181205,675
188278,425
202316,7000
243560,270
239159,375
222154,1300
146758,4800
224062,825
212096,11000
205726,3700
244993,625
239373,1100
221864,270
244691,300
204845,500
190619,575
197996,625
240719,160
142270,90
159028,2700
207427,650
238771,325
245228,400
220774,160
198354,1100
243994,450
211900,450
228882,950
210287,7500
223248,4800
244860,190
180749,350
223379,150
190659,1800
171830,1600
182422,425
193715,450
245552,100
228326,1200
246353,160
186922,400
244017,475
194714,475
225563,4100
233486,1200
212623,20000
183477,450
200319,475
186912,4200
245071,725
246172,1200
219912,1100
227528,900
235095,650
225034,1300
189573,900
187916,750
220782,2800
244884,1300
211870,800
189721,525
231408,1100
144024,150
234705,60
180409,1800
208498,11000
201155,9500
240728,425
181872,26000
244493,50
244305,725
231150,2300
208914,1400
234021,425
229404,2500
236390,1100
224718,400
206005,1700
188942,14500
184320,1600
225018,11500
232081,140
224130,675
214689,240
187334,900
202395,6500
242181,850
214014,800
202128,140
179784,13000
51921,120
243304,850
139274,950
205998,3900
220498,400
236431,50
192015,750
233135,475
19521,120
169416,17500
244854,325
220677,475
213160,15000
241941,1700
192738,270
237423,190
220258,50
230360,7500
222820,160
189860,7000
221201,4200
204184,525
153060,725
199577,11500
176103,160
233706,600
135697,4100
215569,1000
244812,130
219591,5000
216313,700
244906,280
241387,80
244316,950
232338,290
192319,825
218740,450
235997,7000
243174,130
232250,1200
135218,140
224604,675
232759,400
195087,5000
222144,325
230918,1200
242319,160
228687,12000
241140,775
239944,750
189221,3000
197445,38000
194015,2600
192321,4900
214949,5500
185172,1700
246351,260
241743,950
238379,750
226792,280
218397,220
211597,375
231077,1100
193411,350
203751,825
151508,3300
242961,250
192128,2000
242587,130
203863,950
189513,37000
244350,750
205857,2200
214314,220
211591,12000
232811,1000
225305,7500
238943,450
234817,1200
234473,375
244658,290
230144,4000
209840,3400
213856,675
166713,80
229917,850
245747,130
242040,140
240003,130
242823,350
194790,325
244192,140
214739,325
206584,450
232118,700
208834,975
241254,350
191843,600
240131,1200
245554,475
190471,2500
223566,825
161921,230
221329,700
177528,2000
224511,750
176483,5000
237892,625
213719,550
246264,130
245774,260
226264,500
192767,2500
198455,1900
229065,725
199801,375
245504,190
232269,675
230350,1500
197641,1400
243065,130
242070,180
200911,3600
210898,475
237331,675
215604,875
242915,500
189923,975
213602,975
236752,1000
242013,500
184218,2100
169214,6500
235201,475
227909,525
232379,350
176553,5000
229011,2400
216371,2400
240674,140
235476,375
239718,5500
140183,40
201976,7500
139257,230
227886,3600
242567,130
178616,3000
225441,1600
189163,450
228805,1100
144282,675
201313,6500
240697,190
214630,825
193780,1900
208965,900
224590,775
211323,900
229084,1800
224297,750
234636,725
209491,850
224327,850
203843,6500
240212,475
236274,475
210724,3200
222853,450
210930,8000
224081,4700
226786,900
216079,5500
172094,675
199475,450
226093,3600
215053,5500
216605,2000
205156,950
222997,425
244021,2200
221710,450
222393,120
219414,325
219717,850
197240,2700
183831,1400
233197,180
146952,3100
210583,7500
241085,325
192792,375
216466,9500
245013,675
230421,950
237747,500
221323,1500
237255,375
213204,725
215331,5000
239995,575
169708,2500
235173,8500
212178,160
232183,2400
229039,2000
221932,675
232882,1700
210361,800
179842,1300
202620,1100
238550,70
237252,875
189362,15500
200714,280
230038,1000
185205,525
198220,2700
242551,725
239833,475
244326,120
176348,1400
239177,325
240400,230
191059,1300
177896,3000
244840,400
227978,1500
226102,1800
213280,475
169933,270
242543,240
230860,1300
201535,50000
232105,425
228019,180
225926,5000
205712,675
169389,300
182343,2700
176583,450
224673,150
213095,7000
210806,270
211857,1000
199686,600
198553,825
211859,450
244160,170
246039,475
221430,2400
232731,350
242947,220
193331,3200
215408,260
173533,600
246606,825
241026,1900
237973,1200
210495,200
188727,4200
146296,4700
230487,2800
212012,500
215266,1400
228546,1300
236683,150
244449,475
51261,425
243510,750
207783,500
171017,150
241988,120
137449,950
204688,2200
242081,625
244293,180
246081,650
178187,350
206198,9000
202058,3200
236174,700
223147,800
212350,5000
190223,4800
173097,750
200954,825
198581,4900
136363,550
214206,3900
237987,290
177666,8000
246448,110
235980,625
207657,2700
212213,12500
226533,270
214192,675
234032,1100
197031,4100
183766,5500
192439,825
224582,170
239802,50
213171,450
214480,1400
234128,8500
186684,2400
148119,8500
216268,1200
232859,700
214747,300
207902,550
220981,110
189484,6500
197973,950
245218,675
214118,975
228225,850
244653,50
224032,450
239401,400
234615,425
191333,950
236006,220
240565,90
194091,1100
230177,425
173771,7000
217313,775
238692,725
241994,1400
228130,575
201419,160
240037,3200
153137,70
223779,825
215403,475
198143,6500
244605,1000
246599,975
220624,2600
246077,140
183568,5500
229817,375
225614,1600
231222,625
233254,700
192154,300
203289,425
214860,170
221120,1000
230398,1500
182897,600
225147,1300
240313,100
244659,130
190782,5000
214972,925
220570,3200
245209,650
238455,80
232166,575
228456,500
219268,270
210773,375
149185,2700
245653,425
223069,500
219090,1100
241093,500
230165,2700
229606,2700
246330,70
177974,2300
244360,190
245156,350
243859,950
212750,400
223061,17000
244827,525
234586,240
192358,6500
214419,800
236505,2000
243051,140
155534,120
237818,325
244133,375
227443,900
224869,7000
169112,575
148839,1600
233390,120
220182,9500
241432,150
204227,2400
211005,1000
219700,1000
233508,600
157479,675
240289,5500
231672,270
193528,1900
230484,1600
228404,1200
243750,120
242656,425
216273,550
244789,750
157515,575
242023,260
198040,525
186590,450
243445,220
175895,8500
195357,325
214884,725
235125,450
235122,220
137510,210
177152,650
232504,325
240787,925
200844,240
224813,5000
244612,200
155517,270
211302,8000
246549,80
212198,40500
213688,450
169591,325
222382,750
195481,550
243016,1400
228464,450
195093,26500
235572,260
182365,375
216354,26000
244892,1500
183332,7000
241622,120
244134,625
206031,400
194795,3200
236043,900
232238,3200
210134,825
220031,3700
208141,11500
244484,50
188091,1300
188257,475
192778,2800
236679,8500
236169,725
245895,475
224650,50
209475,575
201136,2300
231993,240
243998,200
228533,90
203505,6000
242382,150
209315,350
226286,325
168320,4500
213535,60
243451,280
218936,3900
213646,700
224615,325
170252,240
183070,140
200601,525
189946,4400
244023,450
208019,975
157678,3800
200536,14500
202180,475
216334,4200
190180,625
209425,300
156432,4700
215131,425
198868,3900
213644,900
205478,9000
219577,500
245739,130
163369,1300
244578,120
194956,2100
200505,650
230277,3800
164835,9000
223159,260
242914,600
244571,625
217730,450
164959,3200
203456,180
183391,525
177373,1300
243356,150
239205,210
162347,15000
203042,14000
232117,675
232132,975
224524,950
246111,30
231507,2600
224389,1300
208269,1400
245750,300
168629,575
244717,525
201277,350
222477,825
245856,375
199977,7500
211368,16500
231726,1500
224731,150
205963,1200
242015,375
230323,2700
234497,160
179783,20000
210714,60
173305,160
235088,1300
204721,160
242151,180
211090,190
205569,12000
234674,650
190015,575
200525,475
189324,7000
158790,3100
221696,675
176993,7000
230471,375
232057,625
203885,850
199537,1300
219732,9000
216351,1800
241522,450
231838,5000
228708,5500
234686,475
182621,425
201988,6000
207412,6500
191911,675
203568,1900
240342,1300
241087,120
235297,2600
244002,70
243872,250
174547,250
150278,270
202304,825
223113,8000
183466,475
205401,4900
237279,190
211382,7500
138830,130
245569,60
244277,170
237746,20
242911,375
199409,1800
237214,1200
189575,18500
220395,1600
211174,575
226770,375
173785,190
243144,250
228250,70
240223,600
197231,8500
208470,1500
226006,220
243097,50
211793,775
240942,700
224308,600
189783,425
207641,3300
230568,1300
208944,300
243582,60
199439,16000
233098,700
205257,9000
189885,725
243780,3500
230855,2000
167905,10000
241088,70
184261,450
243959,240
196946,500
163768,70
233139,1300
244454,375
236571,280
234842,160
235377,875
241703,1400
223607,550
209449,4200
200263,180
238214,375
204380,825
245592,325
242584,150
239545,1100
245207,170
210372,8000
154634,650
210917,1300
238373,100
238105,300
200670,550
241731,1100
223697,4200
242336,900
232477,400
238271,650
240609,70
177388,27500
188949,2200
245635,675
245638,120
207639,575
240943,2400
240168,1200
191814,1400
245214,170
234785,290
200726,15000
211365,2500
204131,1100
180334,10000
244235,950
230467,825
244140,250
240428,550
237882,850
137677,3600
245989,575
137359,375
234727,875
170095,350
228665,220
199418,5500
188234,1600
230230,6500
199431,290
245485,180
242913,100
244674,40
243354,150
211272,1300
237796,375
239460,180
240109,525
202921,425
243977,250
214041,550
229384,575
243308,450
239475,3700
200535,1200
212161,400
171579,13000
208630,1100
230534,375
202182,650
240339,50
152501,270
239182,325
223245,5500
216479,1200
244067,190
221443,290
228124,2300
139727,1400
246069,8000
230187,475
224046,400
210831,7500
241216,130
213000,7000
186347,3200
240126,750
176207,325
191256,950
206003,6500
222248,900
234153,21000
236842,525
224537,1900
242061,150
190457,575
214507,260
209417,1500
205877,400
198347,5500
237419,3000
234201,8000
3484,140
180717,40
193267,1800
220854,13000
134820,3600
196339,900
215259,13000
178014,425
199305,825
233493,1300
199407,700
221665,600
239572,650
237789,350
220534,2500
230967,5500
215792,11000
234858,290
216597,450
234171,4600
148212,2300
230275,2500
236823,1400
198810,2500
242128,325
170597,2600
188789,425
170636,475
190311,800
223755,1400
225263,7000
226060,5500
228578,220
235320,4800
204612,8500
230405,1300
219938,1100
186511,1300
200233,800
150418,12000
188181,300
235662,240
229047,80
140196,325
238593,525
231266,450
221473,1600
238637,1100
206171,5000
236551,130
225089,425
236239,450
245173,170
192789,12000
156662,120
236689,600
243213,50
224811,8500
235135,170
245070,160
180440,325
244829,800
186112,550
211259,260
189177,4600
224542,1400
230001,100
162397,400
235912,70
155976,1300
228759,800
207762,3000
198491,280
188094,1800
120415,10
211269,9000
223752,700
244772,290
210922,300
198178,725
224151,4000
181971,775
226818,180
228236,5500
243749,600
177475,3600
239006,120
156221,725
224116,10500
204041,300
192883,25500
175943,45000
219942,2100
214973,6000
229284,525
186504,1600
193683,2200
240385,625
243979,40
206004,575
204790,375
238177,210
228980,975
184190,5500
160295,30
199774,425
238648,400
240057,625
209758,975
190658,1900
199184,130
216447,6500
169333,200
216017,500
240446,475
213705,4300
186392,3200
234279,1000
177953,1600
198642,700
229210,1100
237015,325
190983,375
215644,8500
203457,550
223905,280
221809,160
238084,1000
207790,7500
224238,250
226103,850
235807,260
214163,2100
169600,3700
238008,1000
220433,525
223827,140
243958,130
242470,170
182347,90
202077,1100
246228,160
183597,220
164858,1500
231392,500
244755,80
183892,8500
233409,1800
213209,4500
232999,4800
221697,8000
222829,325
245479,60
238919,160
238977,1000
244011,150
225782,4500
212602,10500
204338,5000
244404,280
221986,700
240399,230
221313,2400
199158,7000
231436,1000
183449,425
232017,500
191076,13000
202778,725
211594,270
240205,80
234925,1200
152065,100
188600,3200
244496,240
225720,750
193276,2200
192012,8500
210911,130
237619,60
201816,650
241704,600
155567,120
200110,5500
144160,525
243119,70
234857,3900
242490,850
242098,350
200475,625
205360,7000
215374,2200
242219,475
245469,110
235526,3900
240384,100
224039,375
230292,1200
239704,725
207664,16000
193250,1300
229702,1600
237580,260
138083,30
245435,90
202078,4100
243071,100
210926,2500
212013,400
216452,9500
230064,350
230936,9500
208631,1200
193302,525
161636,950
235397,425
227898,750
220435,200
214274,925
232577,600
211398,375
223263,475
224433,425
201117,270
138456,4700
219727,550
236038,475
168930,3800
190520,5500
199169,1200
237678,7500
203581,3100
185132,8500
200471,625
246136,70
244343,600
189148,3100
204151,250
231966,475
214715,1000
176915,11000
205858,2200
244652,280
213446,2600
216286,1100
199908,300
242449,190
239925,550
198517,1400
211738,2800
190441,290
201847,700
226401,3400
229668,10000
224656,3200
205015,750
216815,2700
237763,475
189423,10000
234466,375
241114,220
242287,575
2147,950
215343,325
245396,1100
200278,6000
235207,450
244562,280
205869,7000
243137,160
232162,1000
193862,7000
225442,500
221600,1800
205192,17500
238463,10000
206653,725
211022,4200
229848,425
228908,1800
182312,10
219652,3900
209002,850
212405,1400
191740,17500
240647,500
243796,50
194022,12000
184901,300
242874,120
223867,750
243853,375
222121,140
214198,450
238599,575
225946,575
243237,1000
226423,130
193896,525
242058,80
221456,925
190979,1400
214380,350
204923,22500
214471,400
210321,3300
191055,4300
242002,300
209729,3300
239388,475
235565,4800
239425,180
192369,600
244869,400
209893,260
245484,160
183023,130
245814,120
197896,550
189235,775
244037,850
204175,450
219785,525
200807,850
209061,1300
206286,375
204156,6000
240298,100
240587,240
240091,350
241905,190
236987,6000
232887,675
200983,775
163713,1100
234803,325
237652,230
238867,900
146059,425
214704,625
166844,3000
237027,280
182451,575
220386,1100
179742,375
170159,4200
198825,375
233410,400
211991,450
145047,650
246269,60
202102,575
238715,190
222582,160
235228,400
221379,525
243456,525
242344,450
208093,32000
198322,600
202716,875
191184,625
244742,625
189109,290
236721,600
243340,70
235519,400
237749,525
235421,110
213338,575
215412,650
188397,7000
244740,500
227977,240
210786,675
226654,450
233790,1100
241833,550
184843,80
196885,650
212137,900
215144,2900
232082,425
198622,900
225878,8500
203604,3100
246112,210
193369,575
242240,130
243580,1100
189891,290
222501,3300
236875,550
227293,2300
241595,1000
200633,475
203030,8000
246142,50
216110,270
241955,130
224841,3700
229271,3500
225390,80
210263,1400
178090,6500
177633,11500
215100,190
244135,850
162052,900
244013,180
229509,500
240371,600
232518,120
229362,700
232991,650
229949,1400
230353,1100
228205,600
237761,80
233022,160
193348,19000
227825,400
214458,230
230117,850
184807,1600
158144,1500
216289,1400
234121,90
235507,1100
241632,400
240274,210
201841,925
202321,475
206161,725
111206,230
163419,1200
201219,525
244384,1600
183249,2800
191859,270
226174,525
244486,450
204247,5000
245423,100
191154,800
240241,950
167812,1800
240725,300
245623,600
227234,14500
192241,825
194163,700
213778,625
231228,550
184271,7500
216493,475
209288,9000
169493,675
53593,180
211732,900
244788,240
237356,260
219482,210
212831,36500
220187,140
220357,975
169158,700
167180,475
229397,280
229172,300
188044,8000
241649,120
240136,600
238816,170
205659,10500
245425,90
237542,925
172013,3100
230328,2600
229163,450
204639,26000
198705,4100
244205,600
200574,600
236836,3900
233529,3600
198601,1800
216444,775
240625,925
210385,1100
245245,100
213296,13500
242452,190
156017,250
200778,3200
230273,1100
242688,190
242637,200
176029,2100
239491,950
218212,425
183066,575
232438,650
201223,4600
232655,3500
209473,2400
243138,700
208009,400
239350,875
182689,400
225455,1300
180819,13500
244260,11000
238802,1900
207442,110
211195,700
220422,425
210723,3800
235535,90
236632,18000
235773,160
215344,950
245386,140
213489,180
201523,725
176930,5000
245253,260
230231,950
243739,375
197148,650
246185,1400
243948,425
198611,1400
226450,130
205008,3200
201079,675
224942,550
194201,7500
207610,625
222263,750
138918,3900
159043,700
241190,775
231233,230
234426,3600
204442,700
240786,100
234612,7000
198731,1100
202811,3000
229276,1000
243847,575
165185,425
231928,60
243432,325
227170,975
227235,3600
240095,1300
241810,1000
200918,3900
239669,950
183407,500
229764,10000
193849,6000
220779,525
230015,450
229535,850
187366,4500
240063,190
241010,170
222197,825
216258,10500
245431,140
242434,550
210441,8000
190509,120
231878,750
235499,1900
215684,475
202238,1300
227832,825
213102,1200
232251,190
244464,1000
150415,725
212814,22500
198073,375
198176,31500
167524,2200
175789,1600
198891,100
214172,500
172398,350
207440,2200
162981,2400
159034,525
205212,2200
206114,7500
234048,1600
218887,650
242815,450
170342,1300
242419,375
159168,140
158800,2700
184134,9500
190512,375
210502,400
143809,3800
242755,675
241969,230
237646,3000
227558,2500
207998,3500
163340,725
246298,300
219285,575
202157,5000
185373,7500
211093,8500
233176,425
188289,1100
235225,650
216067,1400
222469,325
162952,40
219777,7000
223747,1000
185291,290
135032,450
239593,4900
217036,6000
146462,270
243299,50
232686,300
140445,400
244012,250
230289,1600
241267,120
209852,850
213272,750
221791,2200
240869,150
211982,525
178249,5500
204825,180
235548,700
189118,1800
178475,3200
188807,400
237751,10
178415,9500
232190,160
234927,675
230476,450
229594,14000
234114,110
235866,5000
190815,12000
190120,4000
212106,550
240271,4600
222569,140
205631,1900
241908,70
214495,625
204401,5000
204248,400
229071,3300
216226,300
216267,24500
229438,375
228894,675
186330,5000
245366,180
187454,60
169705,10000
186648,5500
230312,9000
234462,375
177414,350
246048,130
183714,7500
242705,325
241887,1200
243592,550
230300,1200
213695,1100
245693,250
153296,4900
203895,12000
210347,325
240322,100
217203,600
211004,450
206511,13500
190875,7500
140424,110
237051,1200
221286,850
242178,300
209746,850
164458,325
213333,120
218050,2400
216795,775
243032,550
173498,500
199770,400
216036,2500
199386,3300
242259,290
242771,325
202117,375
239478,400
194726,825
185200,2100
175462,725
225511,675
229267,350
169345,2600
163631,3400
206035,825
239048,1100
243670,230
233969,375
183519,4000
161857,1200
228357,1000
212628,525
237550,425
245411,1500
225778,250
235551,180
235076,650
189171,525
214770,7000
231356,140
235527,725
200912,775
232581,625
230069,170
240141,375
233457,825
161667,525
238041,2200
190779,2700
242687,270
193546,350
206635,450
213893,130
231864,800
179544,2100
223794,1300
224470,725
204782,725
209499,34000
244926,80
200519,2200
236296,450
232083,500
192255,300
223683,170
233201,2500
227900,625
166080,2100
199088,400
223095,750
224217,700
232265,230
202073,775
184942,26000
219391,10000
244813,70
162280,6000
222876,825
233074,1100
244978,60
199715,18000
189857,3200
163264,7000
235624,110
199779,3400
176680,1800
229752,3100
191222,1900
222519,350
194894,180
210490,525
192328,1100
227329,875
213432,10500
187878,2400
238860,650
194059,800
213271,550
198113,6500
242534,525
168565,4500
188538,875
245477,70
225976,210
223848,50500
188352,1800
229091,1100
215914,63000
212187,11000
236994,150
234022,450
204420,550
171315,925
229343,350
236467,1100
212170,575
152991,875
228795,240
199042,17000
233328,90
237966,260
208462,1200
203615,260
192362,6000
184472,1700
184482,625
245606,230
237645,230
184040,925
245867,325
245482,120
238609,1000
216481,2600
207993,13000
240285,525
209454,350
190169,270
241835,600
186502,450
184269,200
222881,1400
231931,450
222576,1200
215886,5500
231885,550
245548,100
221992,24000
187489,825
170056,425
192555,1200
213700,90
241736,500
231836,525
235606,325
188430,750
176894,3900
230190,300
198386,1300
220190,90
197416,200
208120,1200
231031,240
240493,5500
225751,450
204761,900
225542,825
228999,180
243395,350
183024,375
199197,425
230872,1300
200517,7000
244373,8500
202909,150
242035,325
220821,625
192350,9000
211527,4700
232101,575
200876,500
223805,240
234935,2500
245721,350
182207,600
215250,2400
244601,525
206202,450
213905,1600
230899,7000
202800,100
236351,300
235347,900
225756,220
200309,2300
226403,100
198019,825
229041,1400
239810,500
241046,280
214684,675
222225,1500
244811,90
188202,725
240390,160
178160,6500
165153,37000
173735,1300
225168,725
245358,110
221956,150
191566,1500
243217,130
231387,120
239423,170
200697,750
221662,1300
208440,1600
229274,130
236885,700
228047,210
208861,775
222643,1200
221912,2200
192546,2600
229236,700
246171,70
209526,325
210214,7500
199562,5500
204033,650
204904,5500
242462,180
234018,1000
199535,350
244357,220
242213,70
223085,675
222418,450
192766,6000
229595,8500
240351,1600
193352,15500
193185,2200
228053,450
238527,60
231360,2800
215285,350
179954,5000
217645,20
214191,3600
112316,5500
210042,2100
242368,70
192476,6000
222697,650
211053,425
188155,7000
204371,450
214722,450
224019,975
225983,375
240836,300
196318,4300
225986,160
208188,750
206529,1200
139368,550
220964,450
245558,20
229707,800
187701,750
239211,525
191089,3100
215559,9000
206142,450
190670,2100
213914,40
199674,2100
241578,300
237773,325
206427,6000
235123,475
209364,500
229803,1000
229906,26500
245684,60
241944,190
177270,375
104737,50
213822,700
146636,60
242527,725
232416,100
244185,1400
235989,875
204492,525
203439,2800
221539,1300
239908,425
214266,400
240442,975
227895,160
184334,500
242185,675
209780,5500
213985,600
211469,260
175313,625
196435,1400
178088,24500
243827,160
242110,750
242129,450
214509,800
232381,13500
232818,190
157481,18000
174665,250
172613,1800
242585,90
236787,300
222235,600
198379,2600
209318,350
246087,100
226408,775
230298,3400
236076,2600
243745,575
243497,375
237555,3200
224506,3700
158309,2500
212000,1200
242910,80
189942,525
223925,625
205365,4000
192912,575
233523,190
221874,375
225365,220
214459,2200
194979,4800
244622,1700
239627,1200
241314,110
194020,6500
199131,2200
234649,350
236271,1200
188840,5000
187052,11500
216190,325
175391,1200
205419,550
189155,800
188107,2400
164462,700
184941,37500
176901,1400
234906,23500
213334,550
246446,60
198971,375
214595,500
243535,80
214998,425
184285,1000
231926,400
222246,450
214169,4600
237238,3800
230253,775
225116,12000
211903,2100
204823,3100
231488,575
214837,675
163570,220
219550,375
139348,50
220673,6500
204451,2000
245698,190
199641,6500
213064,2400
210192,160
199101,2500
180228,2700
243023,850
233119,4400
151225,60
182156,240
157741,625
212392,70
221468,575
239097,1000
237461,1100
222357,12500
221383,750
226822,450
179844,38500
224482,160
162471,850
201271,950
213321,1300
244345,1200
200871,300
242402,450
241534,350
232264,270
219688,775
233892,975
183490,575
229638,400
205586,700
230693,1100
213152,950
212492,400
230170,2800
232826,375
239499,525
235383,80
146963,2100
244680,450
213499,220
206655,8000
244722,550
240872,550
244561,50
234385,2900
162980,425
243357,725
225997,15500
231664,600
112362,240
227873,6500
211595,1100
238519,375
220057,425
233815,140
231954,290
230348,5500
172041,675
207494,26500
215968,250
149825,400
244368,8000
165531,4900
205096,925
201212,575
233986,1500
204550,3200
199195,1300
212207,7500
172232,400
211107,4300
27532,40
214353,250
235493,200
173608,6000
246299,150
240614,160
232977,290
142775,120
217620,475
245755,50
181831,375
227975,100
199789,1800
215020,1400
212958,850
233934,550
199247,3500
39386,200
178565,1200
182096,725
187218,650
235607,350
186119,6500
214669,675
238036,675
236228,325
238657,600
183280,12500
232639,7000
229073,700
204350,1300
173480,350
240113,100
224933,11500
46175,1800
189332,38000
204935,25000
240682,190
241434,160
241476,270
221312,925
240190,3700
225669,2000
191937,200
201145,2400
240805,250
121937,1600
53502,270
179633,2700
177273,1300
246282,550
204136,675
158777,3800
235500,325
222600,400
205540,7500
243714,875
138091,60
232403,180
148705,180
216150,12500
222695,240
243233,450
183287,2700
213203,3000
184352,350
192563,27000
231861,140
220564,180
170915,1300
238466,180
215196,70
190554,525
239361,975
200758,6000
191043,36500
204193,3200
200054,9000
234520,625
241637,3600
214006,2500
214515,1200
196150,5500
213051,9000
189615,6000
158543,3500
240998,90
206317,2300
233467,775
223004,1100
226616,3200
237236,140
215084,300
240532,450
241170,375
243807,425
205048,1100
203151,775
244657,160
205609,525
189110,850
246070,300
240620,190
233372,1200
243481,190
244028,120
221753,3600
